Unnamed: 0,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,PPS_r_i_docking_score,PPS_r_i_glide_ecoul,PPS_r_i_glide_emodel,PPS_r_i_glide_energy,PPS_r_i_glide_erotb,PPS_r_i_glide_esite,PPS_r_i_glide_evdw,PPS_r_i_glide_gscore,PPS_r_i_glide_hbond,PPS_r_i_glide_ligand_efficiency,PPS_r_i_glide_ligand_efficiency_ln,PPS_r_i_glide_ligand_efficiency_sa,PPS_r_i_glide_lipo,PPS_r_i_glide_metal,PPS_r_i_glide_rewards,PPS_NetCharge,PPS_PositiveCharge,PPS_NegativeCharge,PPS_best_variant,norm_PPS_r_i_docking_score,amean,filter,passes_diversity_filter,filtered_amean,score_time,diversity_filter,diversity_filter_params,prior,agent,batch_size,rl_strategy,sigma
17917,RNN,PPS_tester_run_2,279,61,987607.4803757668,CN1CCc2ccc(C(=O)NCc3ccc(CN4CCN(C(=O)NC(N)CNC(=O)c5cccc(C(F)(F)F)c5)CC4)cc3Cl)cc2C1,True,1,True,0,0.2543344518480844,3.3961868119110914,3.8187000000000033,686.179,48.0,646.867,6.0,4.0,14.0,9.0,3.0,2.0,5.0,123.04,0.4225131880889119,0.0,C34H39ClF3N7O3,1646.3931561601532,3.0,3.0,-15.0187,-25.7072,-186.987,-100.218,0.417192,-0.481066,-74.5113,-15.8782,-1.00708,-0.31289,-3.08316,-1.13712,-5.99679,0.0,-1.22881,2.0,2.0,0.0,279_61-7,0.9572330892241409,0.9572330892241409,1.0,False,0.938088427439658,2373.657552242279,ScaffoldSimilarityECFP,,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,64,AHC,60
21197,RNN,PPS_tester_run_2,331,13,1139166.0217101574,O=C(NCC(=O)N1CCC(F)(F)C1)c1c[nH]c(C(=O)NCc2ccc(CC3CCN(C(=O)c4cccc(C(F)(F)F)c4)CC3)cc2)c1,True,1,True,0,0.2903384489517707,2.998495076591885,4.655800000000004,659.6560000000004,47.0,625.3840000000002,4.0,3.0,14.0,9.0,3.0,2.0,5.0,114.61,1.6573049234081187,0.0,C33H34F5N5O4,1613.7567680173545,2.0,5.0,-14.9884,-19.1913,-166.794,-92.621,0.430601,-0.296015,-73.4297,-14.9884,-1.25658,-0.318901,-3.09029,-1.15086,-5.48521,0.0,-1.83097,0.0,0.0,0.0,331_13-1,0.9435389951716366,0.9435389951716366,1.0,False,0.924668215268204,3861.911354780197,ScaffoldSimilarityECFP,,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,64,AHC,60
22121,RNN,PPS_tester_run_2,345,41,1189365.2411351204,NC(=O)c1cccc(CC(N)CC(=O)N2CCC(Cc3ccc(CNC(=O)c4ccc(C(N)=O)[nH]4)cc3)CC2)c1,True,1,True,0,0.2470135797784926,3.1984147152372437,1.8837000000000017,544.6560000000002,40.0,508.36800000000034,5.0,5.0,10.0,11.0,3.0,1.0,4.0,177.4,-1.3147147152372416,0.0,C30H36N6O4,1358.5283264388247,4.0,0.0,-14.9627,-32.1753,-172.466,-92.1552,0.535478,-0.366709,-59.9799,-14.9627,-1.789,-0.374067,-3.1911,-1.27929,-5.14239,0.0,-1.20104,1.0,1.0,0.0,345_41-1,0.9419211472241632,0.9419211472241632,1.0,False,0.92308272427968,2835.3706243038177,ScaffoldSimilarityECFP,,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,64,AHC,60
15533,RNN,PPS_tester_run_2,242,45,860140.6387400627,Cc1cc(C(=O)NCc2ccc(CN3CCC3CNC(=O)c3cc4cc(CN5CCN(CC(N)=O)CC5)ccc4[nH]3)cc2)cc(C(F)(F)F)c1,True,1,True,0,0.1781124476025227,3.4082952180530857,4.032320000000002,689.7830000000005,50.0,647.4470000000003,6.0,4.0,13.0,12.0,4.0,2.0,6.0,126.79999999999998,0.6240247819469165,0.0,C37H42F3N7O3,1849.3269415479156,2.0,3.0,-14.925,-28.6357,-189.531,-100.374,0.409907,-0.397599,-71.7378,-15.2583,-1.17901,-0.298499,-3.03846,-1.09968,-5.52087,0.0,-0.983796,2.0,2.0,0.0,242_45-4,0.9757516720166844,0.9757516720166844,1.0,False,0.9562366385763508,4614.394650936127,ScaffoldSimilarityECFP,,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,64,AHC,60
21343,RNN,PPS_tester_run_2,333,31,1146468.8353869915,NC(=O)C1CCN(C(=O)CCN2CCC(c3ccc(CNC(=O)c4cc5cc(N6CCC(C(N)=O)C6)ccc5[nH]4)cc3)C2)CC1,True,1,True,0,0.2748618990477782,3.536724545131835,2.312800000000002,613.7630000000001,45.0,570.4190000000002,6.0,4.0,11.0,10.0,3.0,3.0,6.0,157.86,-1.2239245451318332,0.0,C34H43N7O4,1560.2241351754867,3.0,0.0,-14.9048,-30.3634,-182.361,-99.8396,0.429603,-0.329102,-69.4762,-14.9181,-1.86183,-0.331218,-3.10086,-1.17811,-4.58168,0.0,-1.10126,1.0,1.0,0.0,333_31-6,0.9382762679961976,0.9382762679961976,1.0,False,0.9195107426362736,4108.561913728714,ScaffoldSimilarityECFP,,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,64,AHC,60
22283,RNN,PPS_tester_run_2,348,11,1198754.7643873692,Cn1ncc2[nH]c(C(=O)NCc3ccc(CC4CCN(C(=O)C5CCN(CCNC(=O)Nc6cccc(C(F)(F)F)c6)C5)CC4)cc3)cc21,True,1,True,0,0.1922773351868882,3.4918972978399765,4.774900000000004,678.7600000000002,49.0,637.4320000000001,6.0,4.0,14.0,10.0,4.0,2.0,6.0,127.39,1.2830027021600277,0.0,C35H41F3N8O3,1776.4640111062415,3.0,3.0,-14.894,-27.2914,-164.289,-91.3339,0.480943,-0.366006,-64.0425,-14.9219,-1.43493,-0.303959,-3.04467,-1.11228,-4.85614,0.0,-1.54365,1.0,1.0,0.0,348_11-1,0.9375963941505668,0.9375963941505668,1.0,False,0.9188444662675554,3632.574186325073,ScaffoldSimilarityECFP,,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,64,AHC,60
20860,RNN,PPS_tester_run_2,325,60,1115772.6299378872,O=C(NCc1ccc(C(F)(F)F)cc1)c1ccc(C(=O)N2CCN(Cc3ccc(CNC(=O)c4cc5cnccc5[nH]4)cc3)CC2)cc1,True,1,True,0,0.1973259663234489,2.653992771092065,5.399700000000005,654.6930000000002,48.0,621.429,5.0,3.0,12.0,9.0,5.0,1.0,6.0,110.43,2.745707228907939,0.0,C36H33F3N6O3,1864.13886479716,2.0,3.0,-14.8933,-29.4878,-188.042,-101.428,0.387826,-0.30014,-71.9398,-15.1943,-1.01853,-0.310277,-3.05742,-1.12762,-5.04404,0.0,-1.62243,2.0,2.0,0.0,325_60-1,0.9375523282531648,0.9375523282531648,1.0,False,0.9000502351230382,4034.5204632282257,ScaffoldSimilarityECFP,,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,64,AHC,60
16936,RNN,PPS_tester_run_2,264,40,936452.1841568948,NC(=O)c1ccc(NCc2ccc(CN3CCCC(C(=O)NC(N)Cc4cccc(C(N)=O)c4)CC3)cc2)cc1,True,1,True,0,0.2345984411812355,3.157643058810237,2.742300000000002,542.6840000000003,40.0,504.3800000000004,6.0,5.0,9.0,11.0,3.0,1.0,4.0,156.57,-1.415343058810235,0.0,C31H38N6O3,1309.4058044523365,3.0,0.0,-14.8317,-29.7074,-169.233,-93.2493,0.48839,-0.49826,-63.5419,-15.0941,-1.80099,-0.370792,-3.16316,-1.26809,-5.23349,0.0,-0.872629,2.0,2.0,0.0,264_40-3,0.9453144419587372,0.9453144419587372,1.0,False,0.9264081531195624,3099.507164955139,ScaffoldSimilarityECFP,,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,64,AHC,60
15722,RNN,PPS_tester_run_2,245,42,874587.0845878124,NCc1cccc(NC(=O)NC2CCN(Cc3ccc(CN4CCN(C(=O)CNC(=O)c5ccc6c(c5)OCO6)CC4)cc3)C2)c1,True,1,True,0,0.2686193227226678,3.08595618071446,2.3442000000000007,627.7460000000001,46.0,586.4180000000001,8.0,4.0,12.0,10.0,3.0,3.0,6.0,141.49999999999994,-0.741756180714459,0.0,C34H41N7O5,1541.0919042628082,2.0,0.0,-14.7958,-29.9993,-172.971,-103.342,0.498837,-0.495661,-73.3431,-14.8687,-1.14051,-0.321649,-3.06418,-1.15248,-5.42593,0.0,-0.638255,3.0,3.0,0.0,245_42-2,0.9430263166281064,0.9430263166281064,1.0,False,0.924165790295544,4976.484527826309,ScaffoldSimilarityECFP,,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,64,AHC,60
10662,RNN,PPS_tester_run_2,166,38,543549.2978026867,NC(=O)c1cccc(CNC(=O)CCC2CCCN(Cc3ccc(CN4CCC(NC(=O)Nc5ccc6ccc(C(N)=O)cc6c5)C4)cc3)CC2)c1,True,1,True,0,0.1296843451769894,3.51451971506706,5.1323000000000025,703.8879999999999,52.0,654.496,6.0,5.0,11.0,13.0,4.0,2.0,6.0,162.89,0.6177802849329428,0.0,C41H49N7O4,1896.092646536592,3.0,0.0,-14.7847,-26.4329,-181.162,-98.5799,0.425609,-0.356691,-72.147,-14.7847,-1.11495,-0.284321,-2.98605,-1.06123,-6.36381,0.0,0.197451,2.0,2.0,0.0,166_38-4,1.0,1.0,1.0,False,0.98,4036.881142377853,ScaffoldSimilarityECFP,,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,64,AHC,60
20322,RNN,PPS_tester_run_2,317,34,1090876.1256978512,O=C(NCc1cccc(C(=O)NCC2CCN(Cc3ccc(CNC(=O)c4cc5c(=O)[nH]ccc5[nH]4)cc3)C2)c1)c1cccnc1,True,1,True,0,0.1533417438826989,3.20560968243662,3.3631,617.71,46.0,582.4300000000002,6.0,5.0,11.0,11.0,5.0,1.0,6.0,152.07999999999998,0.1574903175633801,0.0,C35H35N7O4,1899.971069384863,2.0,0.0,-14.7782,-26.7195,-189.544,-99.9374,0.530363,-0.354265,-73.2179,-14.7872,-1.48015,-0.321264,-3.06052,-1.15111,-5.04177,0.0,-0.780456,1.0,1.0,0.0,317_34-3,0.930306635694636,0.930306635694636,1.0,False,0.9117005029807432,2595.3660373687744,ScaffoldSimilarityECFP,,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,64,AHC,60
19658,RNN,PPS_tester_run_2,307,10,1068578.5187618732,NCc1cccc(NC(=O)NCC2CCN(Cc3ccc(CNC(=O)c4cc5c(=O)[nH]ccc5[nH]4)cc3)C2)n1,True,1,True,0,0.1953599225609001,3.2357174323569886,2.283499999999999,528.6170000000001,39.0,496.36100000000033,6.0,6.0,11.0,9.0,4.0,1.0,5.0,161.02999999999997,-0.9522174323569894,0.0,C28H32N8O3,1511.279094212827,2.0,0.0,-14.7762,-28.431,-182.957,-95.369,0.732171,-0.38586,-66.938,-14.7762,-1.59883,-0.378877,-3.16844,-1.28485,-5.31785,0.0,-0.858928,2.0,2.0,0.0,307_10-3,0.93018073313063,0.93018073313063,1.0,False,0.8743698891427922,1705.2195200920105,ScaffoldSimilarityECFP,,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,64,AHC,60
21106,RNN,PPS_tester_run_2,329,50,1131388.1856315136,NC(=O)c1cccc(C(=O)CN2CCN(Cc3ccc(CNC(=O)c4cc5ccc(C(N)=O)cc5[nH]4)cc3)CC2)c1,True,1,True,0,0.2214176531081496,2.501866127954054,2.2962,552.6350000000001,41.0,520.3790000000004,6.0,4.0,10.0,10.0,4.0,1.0,5.0,154.62,-0.2056661279540543,0.0,C31H32N6O4,1602.6625546193816,3.0,0.0,-14.7524,-27.9753,-179.523,-94.8857,0.536712,-0.414578,-66.9103,-14.7524,-1.88508,-0.359814,-3.12976,-1.24072,-5.11131,0.0,-0.532591,1.0,1.0,0.0,329_50-1,0.928682492618962,0.928682492618962,1.0,False,0.8729615430618243,3432.70694065094,ScaffoldSimilarityECFP,,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,64,AHC,60
4295,RNN,PPS_tester_run_2,67,7,182183.95777273175,NC(=O)c1ccc(CN2CC(c3cc4sc(N)nc4cc3CC(=O)NC3CCN(CC4CCN(C(=O)Cc5ccc(C(F)F)cc5)CC4)C3)C2)cc1,True,1,True,0,0.1919022414733077,3.7104242087654313,4.728700000000005,729.8980000000001,52.0,684.5380000000001,8.0,3.0,13.0,12.0,4.0,3.0,7.0,137.89,1.018275791234574,0.0,C39H45F2N7O3S,1905.4739523695448,2.0,2.0,-14.7491,-21.9322,-173.138,-96.2768,0.296239,-0.244211,-74.3446,-14.7855,-1.2851,-0.283636,-2.97886,-1.05867,-5.21088,0.0,-1.33446,2.0,2.0,0.0,67_7-8,1.0,1.0,1.0,False,0.98,3383.015002965927,ScaffoldSimilarityECFP,,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,64,AHC,60
11346,RNN,PPS_tester_run_2,177,18,583265.8605980873,NCc1ccc(NC(=O)NCCN2CCC(NCc3ccc(CN4CCC(NC(=O)Nc5ccc(C(N)=O)cc5)C4)cc3)CC2)cc1,True,1,True,0,0.1504765659768225,3.093266267626424,3.0159000000000047,641.821,47.0,594.4450000000002,7.0,7.0,12.0,13.0,3.0,2.0,5.0,169.88,-0.0773662676264193,0.0,C35H47N9O3,1457.1201054687565,3.0,0.0,-14.7282,-27.4471,-182.871,-94.4935,0.617406,-0.513012,-67.0464,-14.7282,-1.42211,-0.313366,-3.03665,-1.13088,-5.91535,0.0,-0.142798,3.0,3.0,0.0,177_18-3,0.9961784818088968,0.9961784818088968,1.0,False,0.9164842032641852,4018.3566796779633,ScaffoldSimilarityECFP,,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,/home/andy/Project/MolScore_related/SMILES-RNN-main/priors/ChEMBL28pur.ckpt,64,AHC,60
