population,source_row,input_smiles,canonical_isomeric_smiles,canonical_formal_charge,docking_score,step,batch_idx,task,model,PR_best_variant
PR,15,FC(F)(F)c1nnc2n1N=C(c1ccc(Cl)cc1)CS2,FC(F)(F)c1nnc2n1N=C(c1ccc(Cl)cc1)CS2,0,-6.18245,0,15,PR_run,SMILES-RNN,0_15-1
PR,16,O=C(Nc1ccc(-c2ccccc2)cc1)c1cncc2cccnc12,O=C(Nc1ccc(-c2ccccc2)cc1)c1cncc2cccnc12,0,-5.31122,0,16,PR_run,SMILES-RNN,0_16-1
PR,17,Cc1cc(C(=O)Nc2cc(C(=O)NO)ccc2Cl)ccc1NC(=O)CC(C)(C)C,Cc1cc(C(=O)Nc2cc(C(=O)NO)ccc2Cl)ccc1NC(=O)CC(C)(C)C,0,-5.7723,0,17,PR_run,SMILES-RNN,0_17-1
PR,18,CNCC(O)C(C)n1c(C)c(C(=O)N(C)C)c2ccccc21,CNCC(O)C(C)n1c(C)c(C(=O)N(C)C)c2ccccc21,0,-6.63706,0,18,PR_run,SMILES-RNN,0_18-2
PR,19,Cc1ccc(CNC(=O)C2CCN(C(=O)Sc3nc4ccccc4[nH]3)CC2)cc1,Cc1ccc(CNC(=O)C2CCN(C(=O)Sc3nc4ccccc4[nH]3)CC2)cc1,0,-5.51202,0,19,PR_run,SMILES-RNN,0_19-1
PR,20,COc1ccc(OC)c(NC(=O)C2=C(C)C(C)C(=O)N2C(C)=O)c1,COc1ccc(OC)c(NC(=O)C2=C(C)C(C)C(=O)N2C(C)=O)c1,0,-5.76395,0,20,PR_run,SMILES-RNN,0_20-2
PR,21,COc1ccc(CNc2ncccc2-c2nc3c(s2)CCCNC3=O)cc1,COc1ccc(CNc2ncccc2-c2nc3c(s2)CCCNC3=O)cc1,0,-6.72348,0,21,PR_run,SMILES-RNN,0_21-1
PR,23,CC(=O)Nc1ccc(CCCS(N)(=O)=O)cc1,CC(=O)Nc1ccc(CCCS(N)(=O)=O)cc1,0,-4.73456,0,23,PR_run,SMILES-RNN,0_23-1
PR,24,Cc1cc(=O)[nH]c(=O)n1Cc1nc(O)c2cc3ccccc3cc2n1,Cc1cc(=O)[nH]c(=O)n1Cc1nc(O)c2cc3ccccc3cc2n1,0,-5.09086,0,24,PR_run,SMILES-RNN,0_24-1
PR,25,CC(=O)Nc1ccc(-c2ccnc(NCc3ccccc3)n2)cc1,CC(=O)Nc1ccc(-c2ccnc(NCc3ccccc3)n2)cc1,0,-7.26455,0,25,PR_run,SMILES-RNN,0_25-1
PR,26,Cc1ccn(-c2n[nH]c3cc(-c4cncc5ccccc45)ncc23)n1,Cc1ccn(-c2n[nH]c3cc(-c4cncc5ccccc45)ncc23)n1,0,-5.8666,0,26,PR_run,SMILES-RNN,0_26-1
PR,27,Nc1ncnc2nc(-c3cccc(Cl)c3)ccc12,Nc1ncnc2nc(-c3cccc(Cl)c3)ccc12,0,-5.43148,0,27,PR_run,SMILES-RNN,0_27-1
PR,28,CC(=O)n1cc(C#N)c2ccc(-c3nc(C)n4ncnc(N5CCCCCC5)c34)cc21,CC(=O)n1cc(C#N)c2ccc(-c3nc(C)n4ncnc(N5CCCCCC5)c34)cc21,0,-6.01659,0,28,PR_run,SMILES-RNN,0_28-1
PR,29,CCCC(=O)N1CCN(c2nnc(-c3cccc(C)c3)s2)CC1,CCCC(=O)N1CCN(c2nnc(-c3cccc(C)c3)s2)CC1,0,-5.37698,0,29,PR_run,SMILES-RNN,0_29-1
PR,30,Nc1c(C(=O)Cn2ccnc2)csc1Cc1ccc(F)cc1,Nc1c(C(=O)Cn2ccnc2)csc1Cc1ccc(F)cc1,0,-5.64367,0,30,PR_run,SMILES-RNN,0_30-2
PR,31,Cc1nc(N)nc2[nH]nc(NC(=O)c3ccccc3)c12,Cc1nc(N)nc2[nH]nc(NC(=O)c3ccccc3)c12,0,-5.6931,0,31,PR_run,SMILES-RNN,0_31-1
PR,32,Nc1nccc(-c2cccc(C3CNCCO3)c2)n1,Nc1nccc(-c2cccc(C3CNCCO3)c2)n1,0,-5.91661,0,32,PR_run,SMILES-RNN,0_32-1
PR,33,CC1CCN(C(=O)c2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4C)c3[nH]2)CC1,CC1CCN(C(=O)c2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4C)c3[nH]2)CC1,0,-6.14042,0,33,PR_run,SMILES-RNN,0_33-3
PR,34,CC(C)Nc1nc(-c2c(CN3CCCC3)nc3c(N4CCOCC4)ccnn23)nc2c1cnn2C,CC(C)Nc1nc(-c2c(CN3CCCC3)nc3c(N4CCOCC4)ccnn23)nc2c1cnn2C,0,-6.58907,0,34,PR_run,SMILES-RNN,0_34-1
PR,35,Cc1ccc(C)c2c(SC(CS)C(C)C)c3c(nc12)COC3=O,Cc1ccc(C)c2c(SC(CS)C(C)C)c3c(nc12)COC3=O,0,-5.78233,0,35,PR_run,SMILES-RNN,0_35-1
PR,36,COc1cccc2c1OCC(C(=O)Nc1ccc3c(c1)C(=O)NS3(=O)=O)C2,COc1cccc2c1OCC(C(=O)Nc1ccc3c(c1)C(=O)NS3(=O)=O)C2,0,-5.6608,0,36,PR_run,SMILES-RNN,0_36-1
PR,37,O=C(OCCSc1ncc(Br)cc1C(=O)N1CCCC1)C1CC1,O=C(OCCSc1ncc(Br)cc1C(=O)N1CCCC1)C1CC1,0,-4.64323,0,37,PR_run,SMILES-RNN,0_37-1
PR,38,Cc1cccc(CC(=O)NCc2cccc(Nc3ncnc4[nH]ncc34)c2)c1,Cc1cccc(CC(=O)NCc2cccc(Nc3ncnc4[nH]ncc34)c2)c1,0,-5.01307,0,38,PR_run,SMILES-RNN,0_38-1
PR,39,CCCS(=O)(=O)N1CCN(c2ccc(-c3cc4ccccc4o3)cn2)CC1,CCCS(=O)(=O)N1CCN(c2ccc(-c3cc4ccccc4o3)cn2)CC1,0,-6.06699,0,39,PR_run,SMILES-RNN,0_39-1
PR,40,CCCN1CC(=O)CC2c3cc(O)ccc3CC21,CCCN1CC(=O)CC2c3cc(O)ccc3CC21,0,-5.85562,0,40,PR_run,SMILES-RNN,0_40-6
PR,41,COc1ccc(-c2ccc(-c3cc(NC(C)=O)nc(N)n3)n2-c2cc(=O)[nH]c(C)n2)cc1,COc1ccc(-c2ccc(-c3cc(NC(C)=O)nc(N)n3)n2-c2cc(=O)[nH]c(C)n2)cc1,0,-6.82741,0,41,PR_run,SMILES-RNN,0_41-1
PR,42,Nc1ccc(-c2nc3cc(O)ccc3o2)cc1,Nc1ccc(-c2nc3cc(O)ccc3o2)cc1,0,-5.98592,0,42,PR_run,SMILES-RNN,0_42-1
PR,43,Nc1ccnc(N2CCC(OC(=O)N3CCC4CCCC43)CC2)c1,Nc1ccnc(N2CCC(OC(=O)N3CCC4CCCC43)CC2)c1,0,-6.489,0,43,PR_run,SMILES-RNN,0_43-1
PR,44,CCCC(C(N)=O)C(NC(=O)c1cc2cc(Cl)ccc2[nH]1)C(C)C,CCCC(C(N)=O)C(NC(=O)c1cc2cc(Cl)ccc2[nH]1)C(C)C,0,-6.01661,0,44,PR_run,SMILES-RNN,0_44-3
PR,45,O=c1[nH]c(-c2ccccc2)c(Cl)c2ccccc12,O=c1[nH]c(-c2ccccc2)c(Cl)c2ccccc12,0,-5.5178,0,45,PR_run,SMILES-RNN,0_45-1
PR,46,CNC(=O)c1ccc2cc(NC(=O)NCc3ccc(Cl)c(C(=O)N4CCN(C)CC4)c3)ccc2n1,CNC(=O)c1ccc2cc(NC(=O)NCc3ccc(Cl)c(C(=O)N4CCN(C)CC4)c3)ccc2n1,0,-6.78875,0,46,PR_run,SMILES-RNN,0_46-2
PR,47,CCOC(=O)c1cc(C#N)c2c(c1)CCC(=O)N2,CCOC(=O)c1cc(C#N)c2c(c1)CCC(=O)N2,0,-5.35756,0,47,PR_run,SMILES-RNN,0_47-1
PR,49,N#Cc1ccc(NC(=O)CC2CC2c2ccc(C(F)(F)F)cc2)cc1,N#Cc1ccc(NC(=O)CC2CC2c2ccc(C(F)(F)F)cc2)cc1,0,-7.09049,0,49,PR_run,SMILES-RNN,0_49-1
PR,50,CC(=O)OC12CC3CC(O)(C1)Oc1cccc(-c4ccccc4C)c1CC32C,CC(=O)OC12CC3CC(O)(C1)Oc1cccc(-c4ccccc4C)c1CC32C,0,-5.50377,0,50,PR_run,SMILES-RNN,0_50-6
PR,52,Cc1nc(C2CCC(c3nnc4ncccn34)CC2)cc(-n2cnc(C)c2C(C)C)n1,Cc1nc(C2CCC(c3nnc4ncccn34)CC2)cc(-n2cnc(C)c2C(C)C)n1,0,-6.14665,0,52,PR_run,SMILES-RNN,0_52-1
PR,53,O=C(O)CC(S)C(=O)O,O=C(O)CC(S)C(=O)O,0,-3.93274,0,53,PR_run,SMILES-RNN,0_53-2
PR,54,N#CC(Cc1ccc(-c2cncc(F)c2)cc1)NC(=O)C1NC2CCC1C2,N#CC(Cc1ccc(-c2cncc(F)c2)cc1)NC(=O)C1NC2CCC1C2,0,-6.51767,0,54,PR_run,SMILES-RNN,0_54-8
PR,55,Cc1ccc(C(=C2C(=O)NN(Cc3n[nH]c(=O)c(C)n3)C2=O)c2ccc(Br)cc2)cc1,Cc1ccc(C(=C2C(=O)NN(Cc3n[nH]c(=O)c(C)n3)C2=O)c2ccc(Br)cc2)cc1,0,-4.67758,0,55,PR_run,SMILES-RNN,0_55-2
PR,56,COC(=O)C1=C(c2ccc(C(=O)OC)cc2)COc2cc(C)ccc21,COC(=O)C1=C(c2ccc(C(=O)OC)cc2)COc2cc(C)ccc21,0,-4.75839,0,56,PR_run,SMILES-RNN,0_56-1
PR,57,CC(=O)NC(C)c1cc2ccccc2s1,CC(=O)NC(C)c1cc2ccccc2s1,0,-6.32814,0,57,PR_run,SMILES-RNN,0_57-1
PR,58,NC(=O)c1c(-c2cccnc2)nn2c1CN(C(=O)Nc1ccccc1)CC2,NC(=O)c1c(-c2cccnc2)nn2c1CN(C(=O)Nc1ccccc1)CC2,0,-7.04554,0,58,PR_run,SMILES-RNN,0_58-1
PR,59,CCCCC1C(NC(=O)c2ccc([N+](=O)[O-])cc2)CNC1C(=O)CC1CCCCC1,CCCCC1C(NC(=O)c2ccc([N+](=O)[O-])cc2)CNC1C(=O)CC1CCCCC1,0,-5.80156,0,59,PR_run,SMILES-RNN,0_59-4
PR,60,CC1C(=O)N(c2ccc(C(C)(C)C)cc2)CCN1C(=O)c1nc2ccccc2c(=O)n1Cc1ccc(F)cc1,CC1C(=O)N(c2ccc(C(C)(C)C)cc2)CCN1C(=O)c1nc2ccccc2c(=O)n1Cc1ccc(F)cc1,0,-6.59288,0,60,PR_run,SMILES-RNN,0_60-1
PR,61,CC(Cc1cccc2ccccc12)NC(=O)COc1cccc2[nH]c(O)nc12,CC(Cc1cccc2ccccc12)NC(=O)COc1cccc2[nH]c(O)nc12,0,-6.49271,0,61,PR_run,SMILES-RNN,0_61-1
PR,62,COc1ccc(CNc2nc3c(c(=O)n(C)c(=O)n3C)n2C)cc1,COc1ccc(CNc2nc3c(c(=O)n(C)c(=O)n3C)n2C)cc1,0,-6.51471,0,62,PR_run,SMILES-RNN,0_62-1
PR,63,COc1ccc(CNc2nc(-c3ccco3)cc(-n3nc(C(N)=O)c4ccccc43)n2)c(OC)c1,COc1ccc(CNc2nc(-c3ccco3)cc(-n3nc(C(N)=O)c4ccccc43)n2)c(OC)c1,0,-6.64355,0,63,PR_run,SMILES-RNN,0_63-1
PR,64,O=C(NC1CCC1)n1nnc2c(N3CCCCC3)nccc21,O=C(NC1CCC1)n1nnc2c(N3CCCCC3)nccc21,0,-5.39602,1,0,PR_run,SMILES-RNN,1_0-1
PR,65,CNc1nc(-c2cnc(N)c(C(=O)OC)n2)cc(N2CC(c3nc4ccccc4n3C)C2)n1,CNc1nc(-c2cnc(N)c(C(=O)OC)n2)cc(N2CC(c3nc4ccccc4n3C)C2)n1,0,-7.1729,1,1,PR_run,SMILES-RNN,1_1-1
PR,66,COc1cc(-c2ccnc(NCc3ccccc3)n2)cc(C#N)c1OC,COc1cc(-c2ccnc(NCc3ccccc3)n2)cc(C#N)c1OC,0,-6.62678,1,2,PR_run,SMILES-RNN,1_2-1
PR,67,Nc1ncn2ncnc(Nc3ccc(F)c(C(F)(F)F)c3)c12,Nc1ncn2ncnc(Nc3ccc(F)c(C(F)(F)F)c3)c12,0,-5.23161,1,3,PR_run,SMILES-RNN,1_3-1
PR,69,CNC(=O)c1ccc(C)c(Nc2ncnc3c2c(C(=O)NCCOC)cn3-c2ccccc2)c1,CNC(=O)c1ccc(C)c(Nc2ncnc3c2c(C(=O)NCCOC)cn3-c2ccccc2)c1,0,-6.42039,1,5,PR_run,SMILES-RNN,1_5-1
PR,70,CC(C)C(CC(O)C=CC=C1C(=O)Cc2ccccc21)C(C)C,CC(C)C(CC(O)C=CC=C1C(=O)Cc2ccccc21)C(C)C,0,-7.11055,1,6,PR_run,SMILES-RNN,1_6-6
PR,71,Nc1ncnc2c(Nc3ccc(C(=O)O)cc3)nc(N3CCc4ccccc43)nc12,Nc1ncnc2c(Nc3ccc(C(=O)O)cc3)nc(N3CCc4ccccc43)nc12,0,-5.78929,1,7,PR_run,SMILES-RNN,1_7-1
PR,72,COc1ccccc1N1CCN(CCC(=O)NCc2ccccc2Br)CC1,COc1ccccc1N1CCN(CCC(=O)NCc2ccccc2Br)CC1,0,-5.86498,1,8,PR_run,SMILES-RNN,1_8-2
PR,73,CN(C)Cc1ccc(NC(=O)Cc2nn(C)c3c2CC(O)c2ccccc2-3)cc1,CN(C)Cc1ccc(NC(=O)Cc2nn(C)c3c2CC(O)c2ccccc2-3)cc1,0,-4.70904,1,9,PR_run,SMILES-RNN,1_9-2
PR,74,N#CC1(NC(=O)C2CCCCC2C(=O)N2CCCC2)CC1,N#CC1(NC(=O)C2CCCCC2C(=O)N2CCCC2)CC1,0,-7.05077,1,10,PR_run,SMILES-RNN,1_10-4
PR,75,O=C1CCC2=C1C(c1ccccc1)N=C(S)N2c1cccc(Cl)c1,O=C1CCC2=C1C(c1ccccc1)N=C(S)N2c1cccc(Cl)c1,0,-6.29629,1,11,PR_run,SMILES-RNN,1_11-1
PR,76,Cc1cccc(C)c1NC(=O)N1CCC(n2c(=O)ccc3ccc(O)nc32)CC1,Cc1cccc(C)c1NC(=O)N1CCC(n2c(=O)ccc3ccc(O)nc32)CC1,0,-5.48609,1,12,PR_run,SMILES-RNN,1_12-1
PR,77,CC1CCc2[nH]c(-c3cccc4cnc(-c5cnc(N)nc5)nc34)cc2C1N,CC1CCc2[nH]c(-c3cccc4cnc(-c5cnc(N)nc5)nc34)cc2C1N,0,-6.41176,1,13,PR_run,SMILES-RNN,1_13-2
PR,78,Nc1n[nH]cc1C(=O)Nc1cnn2c(N3CCC(F)(F)C3)cc(N3CCC4(CCOC4)C3)nc12,Nc1n[nH]cc1C(=O)Nc1cnn2c(N3CCC(F)(F)C3)cc(N3CCC4(CCOC4)C3)nc12,0,-6.14815,1,14,PR_run,SMILES-RNN,1_14-2
PR,79,CC1OC(C)N2C=C(c3ccc(Cl)c(Cl)c3)C1C2,CC1OC(C)N2C=C(c3ccc(Cl)c(Cl)c3)C1C2,0,-6.01411,1,15,PR_run,SMILES-RNN,1_15-3
PR,80,Cn1cccc1-c1nc2ncccc2n(CCS(C)(=O)=O)c1=O,Cn1cccc1-c1nc2ncccc2n(CCS(C)(=O)=O)c1=O,0,-5.518,1,16,PR_run,SMILES-RNN,1_16-1
PR,81,CCN1CCC(NC(=O)c2cnccc2C)c2cc(OC)c(-n3cnnn3)cc21,CCN1CCC(NC(=O)c2cnccc2C)c2cc(OC)c(-n3cnnn3)cc21,0,-5.73885,1,17,PR_run,SMILES-RNN,1_17-2
PR,83,CC(=O)N(CCO)c1ccc(C#N)c(-c2cccs2)c1,CC(=O)N(CCO)c1ccc(C#N)c(-c2cccs2)c1,0,-5.2382,1,19,PR_run,SMILES-RNN,1_19-1
PR,84,CCC1C(=O)Nc2c(ccn(C)c2=O)N=C1c1ccc(-n2ccc3nc(O)ccc32)c([N+](=O)[O-])c1,CCC1C(=O)Nc2c(ccn(C)c2=O)N=C1c1ccc(-n2ccc3nc(O)ccc32)c([N+](=O)[O-])c1,0,-5.834,1,20,PR_run,SMILES-RNN,1_20-1
PR,85,O=c1cc(O)nc(SCc2ccc(-c3ccccc3)cc2)[nH]1,O=c1cc(O)nc(SCc2ccc(-c3ccccc3)cc2)[nH]1,0,-5.59091,1,21,PR_run,SMILES-RNN,1_21-1
PR,86,Cc1cc(C(=O)Nc2ccc(C3CCC(C)(O)CC3)cc2)nc(N2CCNCC2)n1,Cc1cc(C(=O)Nc2ccc(C3CCC(C)(O)CC3)cc2)nc(N2CCNCC2)n1,0,-6.47295,1,22,PR_run,SMILES-RNN,1_22-1
PR,87,CS(=O)(=O)c1ccc(COC(=O)c2ccccc2N)cc1,CS(=O)(=O)c1ccc(COC(=O)c2ccccc2N)cc1,0,-5.68605,1,23,PR_run,SMILES-RNN,1_23-1
PR,88,COC(=O)c1cc(CNC2CCCC2)n(C)n1,COC(=O)c1cc(CNC2CCCC2)n(C)n1,0,-5.18361,1,24,PR_run,SMILES-RNN,1_24-1
PR,89,Cc1sc(NC(=O)NC(=O)CN2CCN(c3ncccn3)CC2)c2c1CCCC2,Cc1sc(NC(=O)NC(=O)CN2CCN(c3ncccn3)CC2)c2c1CCCC2,0,-5.3848,1,25,PR_run,SMILES-RNN,1_25-2
PR,90,CCCc1cnnn1CCNC(=O)c1cc2c(C)c3nc(-c4c[nH]nc4C)sc3nc2s1,CCCc1cnnn1CCNC(=O)c1cc2c(C)c3nc(-c4c[nH]nc4C)sc3nc2s1,0,-5.40048,1,26,PR_run,SMILES-RNN,1_26-2
PR,91,CCCNC(=O)NC1CCN(c2ccc(-c3cnc4[nH]ncc4n3)cc2)C1,CCCNC(=O)NC1CCN(c2ccc(-c3cnc4[nH]ncc4n3)cc2)C1,0,-5.86338,1,27,PR_run,SMILES-RNN,1_27-1
PR,92,Cc1nc(-c2ccccc2Cl)sc1CC#N,Cc1nc(-c2ccccc2Cl)sc1CC#N,0,-5.18729,1,28,PR_run,SMILES-RNN,1_28-1
PR,93,N#Cc1cc(-c2cc(CO)cnc2N)c(F)cc1-c1cccc(C(N)=O)c1,N#Cc1cc(-c2cc(CO)cnc2N)c(F)cc1-c1cccc(C(N)=O)c1,0,-5.53036,1,29,PR_run,SMILES-RNN,1_29-1
PR,94,Cc1cc(-c2nc3cccnc3n2-c2ccnc(N3CCOCC3)n2)ccc1NC(=O)Nc1ccccn1,Cc1cc(-c2nc3cccnc3n2-c2ccnc(N3CCOCC3)n2)ccc1NC(=O)Nc1ccccn1,0,-6.03859,1,30,PR_run,SMILES-RNN,1_30-1
PR,95,Cc1ccc(C)c(OCCOC(=O)c2cccc(-n3cncn3)c2)c1,Cc1ccc(C)c(OCCOC(=O)c2cccc(-n3cncn3)c2)c1,0,-5.9784,1,31,PR_run,SMILES-RNN,1_31-1
PR,97,CC1CCN(c2ccc3ncnc(Nc4ccc5c(c4)OCO5)c3c2)C1,CC1CCN(c2ccc3ncnc(Nc4ccc5c(c4)OCO5)c3c2)C1,0,-6.65107,1,33,PR_run,SMILES-RNN,1_33-2
PR,98,CCCN(C)c1ncnc2c1c1ccsc1n2-c1ccc(OC)cc1C,CCCN(C)c1ncnc2c1c1ccsc1n2-c1ccc(OC)cc1C,0,-5.8977,1,34,PR_run,SMILES-RNN,1_34-1
PR,99,CC(N)CN1C(=O)Cc2ccccc21,CC(N)CN1C(=O)Cc2ccccc21,0,-6.89702,1,35,PR_run,SMILES-RNN,1_35-2
PR,100,Cc1cc(-n2ccnc2)ccc1Oc1nc2nc(-c3ccco3)nn2cc1C1CCN(C)C1,Cc1cc(-n2ccnc2)ccc1Oc1nc2nc(-c3ccco3)nn2cc1C1CCN(C)C1,0,-8.25073,1,36,PR_run,SMILES-RNN,1_36-2
PR,101,CCN(CC)C(=O)c1cccc(Br)c1,CCN(CC)C(=O)c1cccc(Br)c1,0,-6.35498,1,37,PR_run,SMILES-RNN,1_37-1
PR,103,COc1ccc(CCn2nc(-c3cccc(O)c3)nc2C)c(OC)c1,COc1ccc(CCn2nc(-c3cccc(O)c3)nc2C)c(OC)c1,0,-7.45541,1,39,PR_run,SMILES-RNN,1_39-1
PR,105,O=C(NCc1ncc(S(=O)(=O)c2ccc3ccccc3c2)s1)c1ccn2nnnc2c1,O=C(NCc1ncc(S(=O)(=O)c2ccc3ccccc3c2)s1)c1ccn2nnnc2c1,0,-6.53172,1,41,PR_run,SMILES-RNN,1_41-1
PR,106,Cc1cccc(S(=O)(=O)c2cc(Cl)c3c(c2)C(CN)CNC3=O)c1,Cc1cccc(S(=O)(=O)c2cc(Cl)c3c(c2)C(CN)CNC3=O)c1,0,-5.89084,1,42,PR_run,SMILES-RNN,1_42-1
PR,107,O=C(CCCN1CCNC1=O)c1ccc(Cl)cc1,O=C(CCCN1CCNC1=O)c1ccc(Cl)cc1,0,-5.84982,1,43,PR_run,SMILES-RNN,1_43-1
PR,108,ON=c1ccc2c(O)cc(Cl)cc2o1,ON=c1ccc2c(O)cc(Cl)cc2o1,0,-7.15983,1,44,PR_run,SMILES-RNN,1_44-1
PR,109,CNc1nc2nc(C#Cc3ccccc3Cl)ccc2s1,CNc1nc2nc(C#Cc3ccccc3Cl)ccc2s1,0,-5.27688,1,45,PR_run,SMILES-RNN,1_45-1
PR,110,CC(C)CCn1cc(C(=O)NCCc2ccc3c(c2)OCO3)c2c([nH]c3ccccc32)c1=O,CC(C)CCn1cc(C(=O)NCCc2ccc3c(c2)OCO3)c2c([nH]c3ccccc32)c1=O,0,-7.57901,1,46,PR_run,SMILES-RNN,1_46-1
PR,111,O=C1c2ccccc2C(=O)N1CCC1CCCO1,O=C1c2ccccc2C(=O)N1CCC1CCCO1,0,-5.06877,1,47,PR_run,SMILES-RNN,1_47-1
PR,112,COc1ccc(-n2ccc(C(=O)NCc3n[nH]c4ccccc4c3=O)n2)cn1,COc1ccc(-n2ccc(C(=O)NCc3n[nH]c4ccccc4c3=O)n2)cn1,0,-6.76949,1,48,PR_run,SMILES-RNN,1_48-1
PR,113,Cn1nccc1-c1cccc(S(=O)(=O)N2CCC(C)(C(=O)Nc3nc4ccccc4[nH]3)CC2)c1,Cn1nccc1-c1cccc(S(=O)(=O)N2CCC(C)(C(=O)Nc3nc4ccccc4[nH]3)CC2)c1,0,-5.28433,1,49,PR_run,SMILES-RNN,1_49-2
PR,114,CCc1ncnc(-c2cccnc2)c1C#Cc1ccc(NS(=O)(=O)c2ccc(C#N)cc2)cc1,CCc1ncnc(-c2cccnc2)c1C#Cc1ccc(NS(=O)(=O)c2ccc(C#N)cc2)cc1,0,-5.44743,1,50,PR_run,SMILES-RNN,1_50-2
PR,115,N#Cc1cc(-n2c(SCCCN)nnc2-c2ccncc2)ccc1Cl,N#Cc1cc(-n2c(SCCCN)nnc2-c2ccncc2)ccc1Cl,0,-6.33101,1,51,PR_run,SMILES-RNN,1_51-1
PR,116,CCc1cc(-c2ccc3c(C(N)=O)nc(NCc4ccccc4)n3c2)ccc1OC,CCc1cc(-c2ccc3c(C(N)=O)nc(NCc4ccccc4)n3c2)ccc1OC,0,-6.76525,1,52,PR_run,SMILES-RNN,1_52-1
PR,117,CC1CN(c2ccnc(C#N)n2)CCN1,CC1CN(c2ccnc(C#N)n2)CCN1,0,-7.1077,1,53,PR_run,SMILES-RNN,1_53-2
PR,118,Cc1ccc(C#Cc2ccc3c(n2)CN(CCc2ccccc2)C3=O)cc1,Cc1ccc(C#Cc2ccc3c(n2)CN(CCc2ccccc2)C3=O)cc1,0,-6.32547,1,54,PR_run,SMILES-RNN,1_54-1
PR,120,CC(=O)N1CCN(c2nc3cnc4ccccc4c3s2)CC1,CC(=O)N1CCN(c2nc3cnc4ccccc4c3s2)CC1,0,-5.80016,1,56,PR_run,SMILES-RNN,1_56-1
