canonical_isomeric_smiles,canonical_formal_charge,PR_occurrence_count,PR_raw_smiles_count,PR_best_score,PR_median_score,PR_mean_score,PR_score_std,PR_worst_score,PR_score_range,PR_best_source_row,PR_best_raw_smiles,PR_first_step,PR_last_step,PR_best_step,PR_best_batch_idx,PR_best_variant_id
Oc1ccc(C2CNCC(CCNCC=Cc3ccc4c(c3)OCO4)C2O)cc1,0,3,1,-10.8716,-10.8716,-10.8716,0.0,-10.8716,0.0,13692,Oc1ccc(C2CNCC(CCNCC=Cc3ccc4c(c3)OCO4)C2O)cc1,213,236,213,60,213_60-2
NC(=O)c1ccc(NC(=O)CNCC2CCC(c3ccc(C(N)=O)cc3)CN2)cc1,0,2,1,-10.8472,-10.8472,-10.8472,0.0,-10.8472,0.0,16220,NC(=O)c1ccc(NC(=O)CNCC2CCC(c3ccc(C(N)=O)cc3)CN2)cc1,253,274,253,28,253_28-4
NC(=O)c1ccc(NC(=O)CNCCCC2CCC(c3ccc(O)cc3)C2O)cc1,0,2,1,-10.8172,-10.8172,-10.8172,0.0,-10.8172,0.0,16232,NC(=O)c1ccc(NC(=O)CNCCCC2CCC(c3ccc(O)cc3)C2O)cc1,253,255,253,40,253_40-7
NC(=O)c1ccc(CNCCNC2CCC(c3ccc(C(N)=O)cc3)C2O)cc1,0,2,1,-10.7679,-10.7679,-10.7679,0.0,-10.7679,0.0,17551,NC(=O)c1ccc(CNCCNC2CCC(c3ccc(C(N)=O)cc3)C2O)cc1,274,275,274,15,274_15-3
NC(=O)c1cccc(NC(=O)CCCN2CCC(c3ccc(O)cc3)C(O)C2)c1,0,3,1,-10.7626,-10.7626,-10.7626,0.0,-10.7626,0.0,17969,NC(=O)c1cccc(NC(=O)CCCN2CCC(c3ccc(O)cc3)C(O)C2)c1,280,299,280,49,280_49-1
Oc1ccc(C2NCCC(CNCCNCc3ccc4c(c3)OCO4)C2O)cc1,0,2,1,-10.7592,-10.7592,-10.7592,0.0,-10.7592,0.0,14670,Oc1ccc(C2NCCC(CNCCNCc3ccc4c(c3)OCO4)C2O)cc1,229,229,229,14,229_14-9
O=C(CNCCCN1CCC(c2ccc(O)cc2)C1)N1CCc2cc(O)ccc2C1,0,4,1,-10.7384,-10.7384,-10.7384,0.0,-10.7384,0.0,13219,O=C(CNCCCN1CCC(c2ccc(O)cc2)C1)N1CCc2cc(O)ccc2C1,206,209,206,35,206_35-8
NC(=O)c1ccc(NC(=O)CCCN2CCC(c3ccc(O)cc3)C(O)C2)cc1,0,3,1,-10.7098,-10.7098,-10.7098,0.0,-10.7098,0.0,18052,NC(=O)c1ccc(NC(=O)CCCN2CCC(c3ccc(O)cc3)C(O)C2)cc1,282,293,282,4,282_4-1
O=C(NCCCN1CCC(c2ccc(O)cc2)C1)Nc1c[nH]c2cc(O)ccc12,0,2,1,-10.6896,-10.6896,-10.6896,0.0,-10.6896,0.0,12840,O=C(NCCCN1CCC(c2ccc(O)cc2)C1)Nc1c[nH]c2cc(O)ccc12,200,204,200,40,200_40-1
Oc1ccc(C2CCNC(CCNCCNCCc3ccccc3)C2O)cc1,0,3,1,-10.6629,-10.6629,-10.6629,0.0,-10.6629,0.0,14678,Oc1ccc(C2CCNC(CCNCCNCCc3ccccc3)C2O)cc1,229,241,229,22,229_22-1
O=C(CNCCNC1CNC(c2ccc(O)cc2)C1O)Nc1ccc(O)cc1,0,3,1,-10.615,-10.615,-10.615,0.0,-10.615,0.0,14731,O=C(CNCCNC1CNC(c2ccc(O)cc2)C1O)Nc1ccc(O)cc1,230,240,230,11,230_11-3
NC(=O)c1ccc(C2CCC(NCC(=O)Nc3ccc4c(c3)CC(O)C4)C2O)cc1,0,2,1,-10.6131,-10.6131,-10.6131,0.0,-10.6131,0.0,17010,NC(=O)c1ccc(C2CCC(NCC(=O)Nc3ccc4c(c3)CC(O)C4)C2O)cc1,265,270,265,50,265_50-3
O=C(CNCCN1CCC(c2ccc(O)cc2)C1)Nc1c[nH]c2ccccc12,0,2,1,-10.6073,-10.6073,-10.6073,0.0,-10.6073,0.0,13467,O=C(CNCCN1CCC(c2ccc(O)cc2)C1)Nc1c[nH]c2ccccc12,210,211,210,27,210_27-1
NC(=O)c1ccc(C2CCC(NCCCc3ccc4ncccc4c3)C2O)cc1,0,2,1,-10.6056,-10.6056,-10.6056,0.0,-10.6056,0.0,17238,NC(=O)c1ccc(C2CCC(NCCCc3ccc4ncccc4c3)C2O)cc1,269,277,269,22,269_22-3
NC(=O)c1ccc(C2CCC(NCCC(=O)N3CCCc4ccccc43)C2O)cc1,0,3,1,-10.6004,-10.6004,-10.6004,0.0,-10.6004,0.0,17425,NC(=O)c1ccc(C2CCC(NCCC(=O)N3CCCc4ccccc43)C2O)cc1,272,280,272,17,272_17-5
Oc1ccc(C2NCC(NCCCC(O)Cc3ccc4c(c3)OCO4)C2O)cc1,0,2,1,-10.5983,-10.5983,-10.5983,0.0,-10.5983,0.0,18665,Oc1ccc(C2NCC(NCCCC(O)Cc3ccc4c(c3)OCO4)C2O)cc1,291,299,291,41,291_41-3
NC(=O)c1ccn(C2CCCC(NCCNCc3cccc4ccccc34)C2O)c1,0,2,1,-10.5608,-10.5608,-10.5608,0.0,-10.5608,0.0,13812,NC(=O)c1ccn(C2CCCC(NCCNCc3cccc4ccccc34)C2O)c1,215,220,215,52,215_52-9
O=C(CNC1CNC(c2ccc(O)cc2)C1O)NCc1c[nH]c2ccccc12,0,2,1,-10.5579,-10.5579,-10.5579,0.0,-10.5579,0.0,13153,O=C(CNC1CNC(c2ccc(O)cc2)C1O)NCc1c[nH]c2ccccc12,205,206,205,33,205_33-3
Oc1ccc(C2CNC(CCN3CC(O)C(c4ccc(O)cc4)C3)C2)cc1,0,2,1,-10.5442,-10.5442,-10.5442,0.0,-10.5442,0.0,8237,Oc1ccc(C2CNC(CCN3CC(O)C(c4ccc(O)cc4)C3)C2)cc1,128,146,128,45,128_45-5
NC(=O)c1ccc(NC(=O)CCCN2CC(O)C(c3ccc(O)cc3)C2)cc1,0,3,1,-10.5148,-10.5148,-10.5148,0.0,-10.5148,0.0,17997,NC(=O)c1ccc(NC(=O)CCCN2CC(O)C(c3ccc(O)cc3)C2)cc1,281,296,281,13,281_13-5
O=C(CNC1NCCC(c2ccc(O)cc2)C1O)Nc1ccc(O)cc1,0,2,1,-10.5107,-10.5107,-10.5107,0.0,-10.5107,0.0,15316,O=C(CNC1NCCC(c2ccc(O)cc2)C1O)Nc1ccc(O)cc1,239,240,239,20,239_20-3
O=C(CNCCNC1CNCC(c2ccc(O)cc2)C1O)Nc1ccc(O)cc1,0,4,1,-10.4844,-10.4844,-10.4844,0.0,-10.4844,0.0,15082,O=C(CNCCNC1CNCC(c2ccc(O)cc2)C1O)Nc1ccc(O)cc1,235,239,235,42,235_42-4
O=C(CNCCNC1CCC(c2ccc(O)cc2)C1O)Nc1ccc(O)cc1,0,5,1,-10.4835,-10.4835,-10.4835,0.0,-10.4835,0.0,14711,O=C(CNCCNC1CCC(c2ccc(O)cc2)C1O)Nc1ccc(O)cc1,229,237,229,55,229_55-5
O=C(CNC1CCC(c2ccc(O)cc2)C1O)NCc1ccc2cc[nH]c2c1,0,4,1,-10.4639,-10.4639,-10.4639,0.0,-10.4639,0.0,12452,O=C(CNC1CCC(c2ccc(O)cc2)C1O)NCc1ccc2cc[nH]c2c1,194,203,194,36,194_36-7
NC(=O)c1ccc(NC(=O)CCCNC2CCNC(c3ccc(C(N)=O)o3)C2O)cc1,0,2,1,-10.4631,-10.4631,-10.4631,0.0,-10.4631,0.0,18297,NC(=O)c1ccc(NC(=O)CCCNC2CCNC(c3ccc(C(N)=O)o3)C2O)cc1,285,286,285,57,285_57-3
O=C(NCCNC1CCC(c2ccc(O)cc2)C1O)c1ccc2c(c1)OCCO2,0,6,1,-10.452,-10.452,-10.452,0.0,-10.452,0.0,11835,O=C(NCCNC1CCC(c2ccc(O)cc2)C1O)c1ccc2c(c1)OCCO2,184,195,184,59,184_59-2
O=C(CNCCN1CCC(c2ccc(O)cc2)C1)Nc1cccc2ccccc12,0,5,1,-10.4368,-10.4368,-10.4368,0.0,-10.4368,0.0,13413,O=C(CNCCN1CCC(c2ccc(O)cc2)C1)Nc1cccc2ccccc12,209,213,209,37,209_37-1
Oc1ccc(CCNCCNCCC2CNCC(c3ccc(O)cc3)C2O)cc1,0,4,1,-10.4311,-10.4311,-10.4311,0.0,-10.4311,0.0,15033,Oc1ccc(CCNCCNCCC2CNCC(c3ccc(O)cc3)C2O)cc1,234,241,234,57,234_57-24
Oc1ccc(C2NCCC(CNCCNc3ccc4c(c3)OCO4)C2O)cc1,0,2,1,-10.4108,-10.4108,-10.4108,0.0,-10.4108,0.0,14188,Oc1ccc(C2NCCC(CNCCNc3ccc4c(c3)OCO4)C2O)cc1,221,225,221,44,221_44-1
Oc1ccc(C2CCC(NCC=CCCc3ccc4c(c3)OCO4)C2O)cc1,0,3,1,-10.41,-10.41,-10.41,0.0,-10.41,0.0,12141,Oc1ccc(C2CCC(NCC=CCCc3ccc4c(c3)OCO4)C2O)cc1,189,200,189,45,189_45-5
O=C(CNCCCCN1CCC(c2ccc(O)cc2)C1)Nc1ccc2cc[nH]c2c1,0,2,1,-10.3953,-10.3953,-10.3953,0.0,-10.3953,0.0,13074,O=C(CNCCCCN1CCC(c2ccc(O)cc2)C1)Nc1ccc2cc[nH]c2c1,204,206,204,18,204_18-3
NC(=O)c1ccc(CNC2CCNC(c3ccc(C(N)=O)cc3)C2O)cc1,0,2,1,-10.3928,-10.3928,-10.3928,0.0,-10.3928,0.0,17770,NC(=O)c1ccc(CNC2CCNC(c3ccc(C(N)=O)cc3)C2O)cc1,277,279,277,42,277_42-8
NC(=O)c1ccc(C2CCC(NCCCc3ccc4c(c3)OCO4)C2O)cc1,0,3,1,-10.3779,-10.3779,-10.3779,0.0,-10.3779,0.0,17541,NC(=O)c1ccc(C2CCC(NCCCc3ccc4c(c3)OCO4)C2O)cc1,274,279,274,5,274_5-1
O=C(CNCCNC1CCC(c2ccc(O)cc2)C1O)Nc1ccc2ccccc2c1,0,5,1,-10.3726,-10.3726,-10.3726,0.0,-10.3726,0.0,13474,O=C(CNCCNC1CCC(c2ccc(O)cc2)C1O)Nc1ccc2ccccc2c1,210,223,210,34,210_34-7
NC(=O)c1ccc(C2NCCC(NCCCc3ccc4ccoc4c3)C2O)cc1,0,4,1,-10.3725,-10.3725,-10.3725,0.0,-10.3725,0.0,17310,NC(=O)c1ccc(C2NCCC(NCCCc3ccc4ccoc4c3)C2O)cc1,270,274,270,30,270_30-1
NC(=O)c1ccc(C2CCNC(NCCc3ccc4ccoc4c3)C2O)cc1,0,2,1,-10.3687,-10.3687,-10.3687,0.0,-10.3687,0.0,17463,NC(=O)c1ccc(C2CCNC(NCCc3ccc4ccoc4c3)C2O)cc1,272,277,272,55,272_55-1
O=C(CNC1NCCC(c2ccc(O)cc2)C1O)Nc1ccc(C(=O)NCc2ccc(O)cc2)cc1,0,2,1,-10.3613,-10.3613,-10.3613,0.0,-10.3613,0.0,15339,O=C(CNC1NCCC(c2ccc(O)cc2)C1O)Nc1ccc(C(=O)NCc2ccc(O)cc2)cc1,239,243,239,43,239_43-4
Oc1ccc(C2CCNC(NCCCC(O)Cc3ccc4c(c3)OCO4)C2O)cc1,0,4,1,-10.36,-10.36,-10.36,0.0,-10.36,0.0,18618,Oc1ccc(C2CCNC(NCCCC(O)Cc3ccc4c(c3)OCO4)C2O)cc1,290,297,290,58,290_58-5
Oc1ccc(C2CN(CCCC(O)Cc3ccc4c(c3)OCO4)CC2O)cc1,0,2,1,-10.3543,-10.3543,-10.3543,0.0,-10.3543,0.0,18666,Oc1ccc(C2CN(CCCC(O)Cc3ccc4c(c3)OCO4)CC2O)cc1,291,300,291,42,291_42-3
O=C(CNCCNCC1CNC(c2ccc(O)cc2)C1O)Nc1ccccc1,0,2,1,-10.3498,-10.3498,-10.3498,0.0,-10.3498,0.0,14905,O=C(CNCCNCC1CNC(c2ccc(O)cc2)C1O)Nc1ccccc1,232,233,232,57,232_57-4
Oc1ccc(C2CC(NCC=CCc3ccc4c(c3)OCCO4)C2O)cc1,0,3,1,-10.3385,-10.3385,-10.3385,0.0,-10.3385,0.0,11994,Oc1ccc(C2CC(NCC=CCc3ccc4c(c3)OCCO4)C2O)cc1,187,194,187,26,187_26-5
O=C(CNCCNC1CCC(c2ccc(O)cc2)C1O)N1CCCc2ccccc21,0,2,1,-10.3341,-10.3341,-10.3341,0.0,-10.3341,0.0,17204,O=C(CNCCNC1CCC(c2ccc(O)cc2)C1O)N1CCCc2ccccc21,268,284,268,52,268_52-5
NC(=O)c1ccc(C2CCC(NCCCCc3ccc4ccoc4c3)C2O)cc1,0,2,1,-10.3295,-10.3295,-10.3295,0.0,-10.3295,0.0,17151,NC(=O)c1ccc(C2CCC(NCCCCc3ccc4ccoc4c3)C2O)cc1,267,268,267,63,267_63-3
O=C(CNCCNCC1CCC(c2ccc(O)cc2)CN1)Nc1ccc(O)cc1,0,2,1,-10.3233,-10.3233,-10.3233,0.0,-10.3233,0.0,14677,O=C(CNCCNCC1CCC(c2ccc(O)cc2)CN1)Nc1ccc(O)cc1,229,231,229,21,229_21-1
O=C(CNCCCC1CCC(c2ccc(O)cc2)C1O)Nc1ccc2c(c1)CC(O)C2,0,3,1,-10.3128,-10.3128,-10.3128,0.0,-10.3128,0.0,16389,O=C(CNCCCC1CCC(c2ccc(O)cc2)C1O)Nc1ccc2c(c1)CC(O)C2,256,275,256,5,256_5-5
NC(=O)c1ccc(C2NCCC(NCC=Cc3ccccc3)C2O)cc1,0,4,1,-10.3107,-10.3107,-10.3107,0.0,-10.3107,0.0,17362,NC(=O)c1ccc(C2NCCC(NCC=Cc3ccccc3)C2O)cc1,271,281,271,18,271_18-2
O=C(CNCCCN1CCC(c2ccc(O)cc2)C1)Nc1ccc2cc[nH]c2c1,0,5,1,-10.3064,-10.3064,-10.3064,0.0,-10.3064,0.0,12957,O=C(CNCCCN1CCC(c2ccc(O)cc2)C1)Nc1ccc2cc[nH]c2c1,202,210,202,29,202_29-3
O=C(CNC1CCC(c2ccc(O)cc2)C1O)NCc1ccc2c(c1)OCO2,0,6,1,-10.2884,-10.2884,-10.288399999999998,1.9459014222361975e-15,-10.2884,0.0,12312,O=C(CNC1CCC(c2ccc(O)cc2)C1O)NCc1ccc2c(c1)OCO2,192,199,192,24,192_24-7
O=C(CCCN1CCC(c2ccc(O)cc2)C(O)C1)Nc1ccc2c(c1)CCC2O,0,2,1,-10.2653,-10.2653,-10.2653,0.0,-10.2653,0.0,18892,O=C(CCCN1CCC(c2ccc(O)cc2)C(O)C1)Nc1ccc2c(c1)CCC2O,295,304,295,12,295_12-4
NC(=O)c1ccc(C2NCCC(NCCc3ccc4ccoc4c3)C2O)cc1,0,2,1,-10.2511,-10.2511,-10.2511,0.0,-10.2511,0.0,17018,NC(=O)c1ccc(C2NCCC(NCCc3ccc4ccoc4c3)C2O)cc1,265,272,265,58,265_58-1
Oc1ccc(CNCCNC2CNC(c3ccc(O)cc3)C2O)cc1,0,4,1,-10.2412,-10.2412,-10.2412,0.0,-10.2412,0.0,15356,Oc1ccc(CNCCNC2CNC(c3ccc(O)cc3)C2O)cc1,239,243,239,60,239_60-3
NC(=O)c1ccc(NC(=O)CNC2CCNC(c3ccc(C(N)=O)cc3)C2O)cc1,0,2,1,-10.2393,-10.2393,-10.2393,0.0,-10.2393,0.0,17784,NC(=O)c1ccc(NC(=O)CNC2CCNC(c3ccc(C(N)=O)cc3)C2O)cc1,277,285,277,56,277_56-4
Oc1ccc(CNCCNCCC2CNCC(c3ccc(O)cc3)C2O)cc1,0,2,1,-10.2365,-10.2365,-10.2365,0.0,-10.2365,0.0,15532,Oc1ccc(CNCCNCCC2CNCC(c3ccc(O)cc3)C2O)cc1,242,243,242,44,242_44-8
NC(=O)c1ccc(C2CCC(NCCCc3ccc4ccoc4c3)C2O)cc1,0,3,1,-10.2337,-10.2337,-10.2337,0.0,-10.2337,0.0,17273,NC(=O)c1ccc(C2CCC(NCCCc3ccc4ccoc4c3)C2O)cc1,269,273,269,57,269_57-3
NC(=O)c1ccc(CNCCNC2CNC(c3ccc(O)cc3)C2O)cc1,0,2,1,-10.1952,-10.1952,-10.1952,0.0,-10.1952,0.0,15387,NC(=O)c1ccc(CNCCNC2CNC(c3ccc(O)cc3)C2O)cc1,240,249,240,27,240_27-7
NC(=O)c1ccc(C2CCC(NCC(=O)Nc3ccc4c(N)noc4c3)C2O)cc1,0,3,1,-10.1816,-10.1816,-10.1816,0.0,-10.1816,0.0,17596,NC(=O)c1ccc(C2CCC(NCC(=O)Nc3ccc4c(N)noc4c3)C2O)cc1,274,282,274,60,274_60-1
O=C(CNCCNCC1CCC(c2ccc(O)cc2)C1O)Nc1ccc2c(c1)OCO2,0,3,1,-10.1774,-10.1774,-10.1774,0.0,-10.1774,0.0,13728,O=C(CNCCNCC1CCC(c2ccc(O)cc2)C1O)Nc1ccc2c(c1)OCO2,214,223,214,32,214_32-2
Nc1noc2cc(NC(=O)CCCN3CCC(c4ccc(O)cc4)C(O)C3)ccc12,0,3,1,-10.1603,-10.1603,-10.1603,0.0,-10.1603,0.0,18821,Nc1noc2cc(NC(=O)CCCN3CCC(c4ccc(O)cc4)C(O)C3)ccc12,294,300,294,5,294_5-8
O=C(CNCCCN1CCCC(c2ccc(O)cc2)C1)Nc1c[nH]c2ccccc12,0,3,1,-10.1593,-10.1593,-10.1593,0.0,-10.1593,0.0,13144,O=C(CNCCCN1CCCC(c2ccc(O)cc2)C1)Nc1c[nH]c2ccccc12,205,207,205,24,205_24-6
O=C(CNCCNC1CCCC(c2ccc(O)cc2)C1O)Nc1c[nH]c2ccccc12,0,2,1,-10.1524,-10.1524,-10.1524,0.0,-10.1524,0.0,13250,O=C(CNCCNC1CCCC(c2ccc(O)cc2)C1O)Nc1c[nH]c2ccccc12,207,209,207,2,207_2-2
Oc1ccc(C2CN(CCCCNCC(O)Cc3ccc4c(c3)OCO4)CC2O)cc1,0,3,1,-10.1441,-10.1441,-10.1441,0.0,-10.1441,0.0,18837,Oc1ccc(C2CN(CCCCNCC(O)Cc3ccc4c(c3)OCO4)CC2O)cc1,294,300,294,21,294_21-8
Oc1ccc(C2CNCC(CCNCCNc3ccc4c(c3)OCCO4)C2O)cc1,0,2,1,-10.1436,-10.1436,-10.1436,0.0,-10.1436,0.0,14602,Oc1ccc(C2CNCC(CCNCCNc3ccc4c(c3)OCCO4)C2O)cc1,228,228,228,10,228_10-5
O=C(CNCCCC1CCC(c2ccc(O)cc2)C1O)N1CCc2ccccc2C1,0,3,1,-10.1238,-10.1238,-10.1238,0.0,-10.1238,0.0,16228,O=C(CNCCCC1CCC(c2ccc(O)cc2)C1O)N1CCc2ccccc2C1,253,255,253,36,253_36-8
O=C(NCCNC1CCC(c2ccc(O)cc2)C1O)Nc1ccc2c(c1)OCCO2,0,2,1,-10.1188,-10.1188,-10.1188,0.0,-10.1188,0.0,12727,O=C(NCCNC1CCC(c2ccc(O)cc2)C1O)Nc1ccc2c(c1)OCCO2,198,200,198,55,198_55-4
NC(=O)c1ccc(C2CCC(NCC(=O)Nc3ccc4ccoc4c3)C2O)cc1,0,6,1,-10.1168,-10.1168,-10.1168,0.0,-10.1168,0.0,16969,NC(=O)c1ccc(C2CCC(NCC(=O)Nc3ccc4ccoc4c3)C2O)cc1,265,275,265,9,265_9-7
O=C(CNCCNCC1CCC(c2ccc(O)cc2)C1O)Nc1ccc(O)cc1,0,2,1,-10.1105,-10.1105,-10.1105,0.0,-10.1105,0.0,14582,O=C(CNCCNCC1CCC(c2ccc(O)cc2)C1O)Nc1ccc(O)cc1,227,230,227,54,227_54-3
NC(=O)c1ccc(CCCNC2CCC(c3ccc(C(N)=O)cc3)C2O)cc1,0,4,1,-10.1067,-10.1067,-10.1067,0.0,-10.1067,0.0,17732,NC(=O)c1ccc(CCCNC2CCC(c3ccc(C(N)=O)cc3)C2O)cc1,277,278,277,4,277_4-4
Oc1ccc(C2NCC(NCCNCCc3c[nH]c4ccc(O)cc34)C2O)cc1,0,2,1,-10.1063,-10.1063,-10.1063,0.0,-10.1063,0.0,13387,Oc1ccc(C2NCC(NCCNCCc3c[nH]c4ccc(O)cc34)C2O)cc1,209,210,209,11,209_11-1
O=C(NCCNC1CCC(c2ccc(O)cc2)C1O)Nc1ccc2ccccc2c1,0,2,1,-10.1041,-10.1041,-10.1041,0.0,-10.1041,0.0,12689,O=C(NCCNC1CCC(c2ccc(O)cc2)C1O)Nc1ccc2ccccc2c1,198,202,198,17,198_17-6
Oc1ccc(C2NCC(NCCNCc3cccc4ccccc34)C2O)cc1,0,2,1,-10.0966,-10.0966,-10.0966,0.0,-10.0966,0.0,13794,Oc1ccc(C2NCC(NCCNCc3cccc4ccccc34)C2O)cc1,215,216,215,34,215_34-3
O=C(NCCNC1CCC(c2ccc(O)cc2)C1O)Nc1cccc2ccccc12,0,2,1,-10.0818,-10.0818,-10.0818,0.0,-10.0818,0.0,12858,O=C(NCCNC1CCC(c2ccc(O)cc2)C1O)Nc1cccc2ccccc12,200,210,200,58,200_58-5
Oc1ccc(C2CNCC(CNCCNc3ccc4c(c3)OCO4)C2O)cc1,0,4,1,-10.0767,-10.0767,-10.0767,0.0,-10.0767,0.0,14420,Oc1ccc(C2CNCC(CNCCNc3ccc4c(c3)OCO4)C2O)cc1,225,229,225,20,225_20-1
NC(=O)c1ccc(NC(=O)CCCCN2CC(O)C(c3ccc(O)cc3)C2)cc1,0,2,1,-10.0764,-10.0764,-10.0764,0.0,-10.0764,0.0,18738,NC(=O)c1ccc(NC(=O)CCCCN2CC(O)C(c3ccc(O)cc3)C2)cc1,292,294,292,50,292_50-7
O=C(CNCCNC1CC(c2ccc(O)cc2)C1O)c1ccc2c(c1)OCO2,0,4,1,-10.0694,-10.0694,-10.0694,0.0,-10.0694,0.0,11284,O=C(CNCCNC1CC(c2ccc(O)cc2)C1O)c1ccc2c(c1)OCO2,176,181,176,20,176_20-5
NC(=O)c1ccc(C2NCCC(NCc3ccc4ccoc4c3)C2O)cc1,0,2,1,-10.0677,-10.0677,-10.0677,0.0,-10.0677,0.0,17194,NC(=O)c1ccc(C2NCCC(NCc3ccc4ccoc4c3)C2O)cc1,268,274,268,42,268_42-1
O=C(CCCNC1CCC(c2ccc(O)cc2)C1O)Nc1ccc2c(c1)OCO2,0,4,1,-10.0329,-10.0329,-10.0329,0.0,-10.0329,0.0,18238,O=C(CCCNC1CCC(c2ccc(O)cc2)C1O)Nc1ccc2c(c1)OCO2,284,287,284,62,284_62-6
O=C(CNCCCNC1CC(c2ccc(O)cc2)C1O)N1CCCc2ccccc21,0,2,1,-10.0294,-10.0294,-10.0294,0.0,-10.0294,0.0,18248,O=C(CNCCCNC1CC(c2ccc(O)cc2)C1O)N1CCCc2ccccc21,285,294,285,8,285_8-4
NC(=O)c1ccc(NC(=O)CNC2NCCC(c3ccc(O)cc3)C2O)cc1,0,4,1,-10.0241,-10.0241,-10.0241,0.0,-10.0241,0.0,15519,NC(=O)c1ccc(NC(=O)CNC2NCCC(c3ccc(O)cc3)C2O)cc1,242,247,242,31,242_31-3
O=C(CNCC1CNC(c2ccc(O)cc2)C1O)Nc1c[nH]c2ccccc12,0,2,1,-10.0089,-10.0089,-10.0089,0.0,-10.0089,0.0,13404,O=C(CNCC1CNC(c2ccc(O)cc2)C1O)Nc1c[nH]c2ccccc12,209,209,209,28,209_28-15
Oc1ccc(C2CCC(NCCNCc3ccc4ccccc4n3)C2O)cc1,0,2,1,-10.0002,-10.0002,-10.0002,0.0,-10.0002,0.0,13651,Oc1ccc(C2CCC(NCCNCc3ccc4ccccc4n3)C2O)cc1,213,286,213,19,213_19-3
