population,source_row,input_smiles,canonical_isomeric_smiles,canonical_formal_charge,docking_score,step,batch_idx,task,model,PPS_best_variant
PPS,44,Nc1c(Br)cc(CCN2CCCCC2)c2c1CCO2,Nc1c(Br)cc(CCN2CCCCC2)c2c1CCO2,0,-6.88911,0,44,PPS_tester_run_2,RNN,0_44-1
PPS,45,C=CCn1c(=O)cc(S(=O)(=O)c2ccc(NC)cc2)c2cccc(F)c21,C=CCn1c(=O)cc(S(=O)(=O)c2ccc(NC)cc2)c2cccc(F)c21,0,-7.17453,0,45,PPS_tester_run_2,RNN,0_45-1
PPS,46,Cc1cc(O)cc(C)c1C(=O)CN1CCN(C(=O)C(N)Cc2c[nH]c3cccc(Cl)c23)CC1,Cc1cc(O)cc(C)c1C(=O)CN1CCN(C(=O)C(N)Cc2c[nH]c3cccc(Cl)c23)CC1,0,-8.3946,0,46,PPS_tester_run_2,RNN,0_46-1
PPS,47,CC1NCCC(C)N(C(=O)c2ccc(-c3cc(N)[nH]n3)cc2F)C1C,CC1NCCC(C)N(C(=O)c2ccc(-c3cc(N)[nH]n3)cc2F)C1C,0,-7.22509,0,47,PPS_tester_run_2,RNN,0_47-2
PPS,48,CC1SC(=O)c2c1cc1ncn(C)c(=O)c1c2N,CC1SC(=O)c2c1cc1ncn(C)c(=O)c1c2N,0,-7.09542,0,48,PPS_tester_run_2,RNN,0_48-1
PPS,49,COc1cc(O)cc(C=Cc2cc(OC)c(OC)c(OC)c2)c1,COc1cc(O)cc(C=Cc2cc(OC)c(OC)c(OC)c2)c1,0,-7.71487,0,49,PPS_tester_run_2,RNN,0_49-1
PPS,50,NCc1cccnc1Oc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,NCc1cccnc1Oc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,0,-9.40329,0,50,PPS_tester_run_2,RNN,0_50-1
PPS,51,NC(=O)c1nc(-c2cncc(Br)c2)cc2c1c1c(F)cncc1n2CC(CO)CO,NC(=O)c1nc(-c2cncc(Br)c2)cc2c1c1c(F)cncc1n2CC(CO)CO,0,-7.03727,0,51,PPS_tester_run_2,RNN,0_51-1
PPS,52,NS(=O)(=O)c1cccc([N+](=O)[O-])c1,NS(=O)(=O)c1cccc([N+](=O)[O-])c1,0,-6.82426,0,52,PPS_tester_run_2,RNN,0_52-1
PPS,53,O=c1c2cc[nH]c2nc(NC2(c3ncccc3Cl)CC2)n1C1CCCC1,O=c1c2cc[nH]c2nc(NC2(c3ncccc3Cl)CC2)n1C1CCCC1,0,-4.98207,0,53,PPS_tester_run_2,RNN,0_53-1
PPS,54,Fc1ccc(-c2nc3ccccn3c2-c2ccc(N3CCNCC(F)C3)nc2)nc1,Fc1ccc(-c2nc3ccccn3c2-c2ccc(N3CCNCC(F)C3)nc2)nc1,0,-8.15654,0,54,PPS_tester_run_2,RNN,0_54-1
PPS,55,O=C(O)C(=O)C=C(O)c1cccc(OC(=O)c2ccc(-c3ccccc3)cc2)c1,O=C(O)C(=O)C=C(O)c1cccc(OC(=O)c2ccc(-c3ccccc3)cc2)c1,0,-7.70089,0,55,PPS_tester_run_2,RNN,0_55-1
PPS,56,Cc1nc(C#Cc2ccc(CC(N)C(=O)O)cc2)cs1,Cc1nc(C#Cc2ccc(CC(N)C(=O)O)cc2)cs1,0,-6.80768,0,56,PPS_tester_run_2,RNN,0_56-1
PPS,57,CCc1cc(OC2CCN(CCC3CCC(N)(c4ccccc4)CC3)CC2)nn(C)c1=O,CCc1cc(OC2CCN(CCC3CCC(N)(c4ccccc4)CC3)CC2)nn(C)c1=O,0,-9.42425,0,57,PPS_tester_run_2,RNN,0_57-2
PPS,58,COc1cc(F)ccc1N1CCOc2cc(F)c(CS(=O)(=O)Nc3nccs3)cc21,COc1cc(F)ccc1N1CCOc2cc(F)c(CS(=O)(=O)Nc3nccs3)cc21,0,-6.17617,0,58,PPS_tester_run_2,RNN,0_58-1
PPS,59,Cc1ccc(-c2nc(SCC(=O)NC(C)C)nc(N)c2C#N)cc1,Cc1ccc(-c2nc(SCC(=O)NC(C)C)nc(N)c2C#N)cc1,0,-5.74705,0,59,PPS_tester_run_2,RNN,0_59-1
PPS,60,O=C(CCNS(=O)(=O)c1ccccc1)N1CC2CCc3c(F)cccc3C2C1,O=C(CCNS(=O)(=O)c1ccccc1)N1CC2CCc3c(F)cccc3C2C1,0,-7.74889,0,60,PPS_tester_run_2,RNN,0_60-3
PPS,61,CCCC(C)Nc1cncc(-c2nc(NC3CCOCC3)nc(N3CCOCC3)n2)n1,CCCC(C)Nc1cncc(-c2nc(NC3CCOCC3)nc(N3CCOCC3)n2)n1,0,-4.76176,0,61,PPS_tester_run_2,RNN,0_61-2
PPS,62,Cc1cccc2ccc(CCc3nc4cccc(C)n4n3)nc12,Cc1cccc2ccc(CCc3nc4cccc(C)n4n3)nc12,0,-7.13739,0,62,PPS_tester_run_2,RNN,0_62-1
PPS,63,CN1C(=O)CC(C)(c2ccc(-c3ccccc3)cc2)C1=O,CN1C(=O)CC(C)(c2ccc(-c3ccccc3)cc2)C1=O,0,-8.15705,0,63,PPS_tester_run_2,RNN,0_63-1
PPS,64,COCc1ccnn1-c1ccccc1C(=O)OC,COCc1ccnn1-c1ccccc1C(=O)OC,0,-5.20546,1,0,PPS_tester_run_2,RNN,1_0-1
PPS,65,CC(C)(C)c1cc(C(=O)Nc2sc(NCc3ccnnc3)nc2C(N)=O)no1,CC(C)(C)c1cc(C(=O)Nc2sc(NCc3ccnnc3)nc2C(N)=O)no1,0,-7.6883,1,1,PPS_tester_run_2,RNN,1_1-1
PPS,66,CCc1ccc2nc(-c3cc(C#N)cc(OCC(=O)O)c3)n(CC)c2c1,CCc1ccc2nc(-c3cc(C#N)cc(OCC(=O)O)c3)n(CC)c2c1,0,-6.74122,1,2,PPS_tester_run_2,RNN,1_2-1
PPS,67,COc1c(C(=O)Nc2cccc(C)c2)cccc1-c1cnco1,COc1c(C(=O)Nc2cccc(C)c2)cccc1-c1cnco1,0,-6.42725,1,3,PPS_tester_run_2,RNN,1_3-1
PPS,68,CC1=C(N2CCN(CCCCN3CCN(c4ccc5c(c4F)NC(=O)CO5)CC3)C(=O)C2)CCCC1,CC1=C(N2CCN(CCCCN3CCN(c4ccc5c(c4F)NC(=O)CO5)CC3)C(=O)C2)CCCC1,0,-8.71355,1,4,PPS_tester_run_2,RNN,1_4-1
PPS,69,Cc1oc(=O)c2ccccc2c1C(=O)OS(C)(=O)=O,Cc1oc(=O)c2ccccc2c1C(=O)OS(C)(=O)=O,0,-5.81861,1,5,PPS_tester_run_2,RNN,1_5-1
PPS,70,Cc1occc1C(=O)NCCc1cc(F)ccc1F,Cc1occc1C(=O)NCCc1cc(F)ccc1F,0,-7.99701,1,6,PPS_tester_run_2,RNN,1_6-1
PPS,71,COC(O)=C=Cc1cc2c(=N)cc(N)[nH]c2cc1OC,COC(O)=C=Cc1cc2c(=N)cc(N)[nH]c2cc1OC,0,-6.25764,1,7,PPS_tester_run_2,RNN,1_7-1
PPS,72,CCOC(=O)c1c(NC(=O)CCCOc2cccc(N)n2)sc(C)c1C(C)C,CCOC(=O)c1c(NC(=O)CCCOc2cccc(N)n2)sc(C)c1C(C)C,0,-6.45064,1,8,PPS_tester_run_2,RNN,1_8-1
PPS,73,O=C(OCC(=O)N1CCCC1C(=O)NCc1ccc(F)cc1)c1ccc2c(c1)OCCO2,O=C(OCC(=O)N1CCCC1C(=O)NCc1ccc(F)cc1)c1ccc2c(c1)OCCO2,0,-8.55947,1,9,PPS_tester_run_2,RNN,1_9-2
PPS,74,CC(C)OC(=O)c1cccc(C(=O)COC(=O)C2CCC(=O)N(C)C2)c1,CC(C)OC(=O)c1cccc(C(=O)COC(=O)C2CCC(=O)N(C)C2)c1,0,-8.97948,1,10,PPS_tester_run_2,RNN,1_10-2
PPS,75,CC1(C)CC(=O)C2(O)C3c4ccccc4C(=O)CC3C3CCC2(C)C31,CC1(C)CC(=O)C2(O)C3c4ccccc4C(=O)CC3C3CCC2(C)C31,0,-3.87208,1,11,PPS_tester_run_2,RNN,1_11-5
PPS,76,CCn1c(=O)n(C)c2cccc(OCC3CCN(Cc4cccc(F)c4)CC3)c21,CCn1c(=O)n(C)c2cccc(OCC3CCN(Cc4cccc(F)c4)CC3)c21,0,-8.47514,1,12,PPS_tester_run_2,RNN,1_12-1
PPS,77,CCC(NC(=O)c1cnc2cnc(N3C(=O)N(C)CC3c3ccccc3)nn12)c1ccc(O)c(F)c1,CCC(NC(=O)c1cnc2cnc(N3C(=O)N(C)CC3c3ccccc3)nn12)c1ccc(O)c(F)c1,0,-8.10038,1,13,PPS_tester_run_2,RNN,1_13-2
PPS,78,Cc1cc(CNc2nc3ccccc3o2)ccc1-c1c(-c2ccc(F)cc2)nnn1C,Cc1cc(CNc2nc3ccccc3o2)ccc1-c1c(-c2ccc(F)cc2)nnn1C,0,-8.4399,1,14,PPS_tester_run_2,RNN,1_14-1
PPS,79,CCCN(CC)C(=O)c1ccccc1Oc1ccc([N+](=O)[O-])cc1-c1nc(C)no1,CCCN(CC)C(=O)c1ccccc1Oc1ccc([N+](=O)[O-])cc1-c1nc(C)no1,0,-3.94527,1,15,PPS_tester_run_2,RNN,1_15-1
PPS,80,CC(C)(COc1ccccc1)C(=O)NCC1CC2CCC1C2(C)C,CC(C)(COc1ccccc1)C(=O)NCC1CC2CCC1C2(C)C,0,-8.03554,1,16,PPS_tester_run_2,RNN,1_16-3
PPS,82,CC(Cc1ccc([N+](=O)[O-])cc1)NS(=O)(=O)c1ccc(N2CCCCC2)nc1,CC(Cc1ccc([N+](=O)[O-])cc1)NS(=O)(=O)c1ccc(N2CCCCC2)nc1,0,-7.37457,1,18,PPS_tester_run_2,RNN,1_18-1
PPS,83,Cc1cc(C#N)cnc1C(=O)Nc1cc(C2(C)NC(=O)C3CNCCC32)c(F)cc1F,Cc1cc(C#N)cnc1C(=O)Nc1cc(C2(C)NC(=O)C3CNCCC32)c(F)cc1F,0,-8.85831,1,19,PPS_tester_run_2,RNN,1_19-1
PPS,84,CSc1ccc(C(CO)NC(=O)c2ccc(-c3nc(C(O)C(F)(F)F)cs3)cc2F)cc1,CSc1ccc(C(CO)NC(=O)c2ccc(-c3nc(C(O)C(F)(F)F)cs3)cc2F)cc1,0,-8.6879,1,20,PPS_tester_run_2,RNN,1_20-2
PPS,85,COC(=O)c1cc2c(cc1NC(=O)Cc1cccc(Cl)c1)C(N(C)O)CCC2,COC(=O)c1cc2c(cc1NC(=O)Cc1cccc(Cl)c1)C(N(C)O)CCC2,0,-7.78953,1,21,PPS_tester_run_2,RNN,1_21-5
PPS,86,Cc1c(C(=O)N2CC(Oc3ccc(F)cc3)C2)cnn1-c1nc2ccccc2c(=O)[nH]1,Cc1c(C(=O)N2CC(Oc3ccc(F)cc3)C2)cnn1-c1nc2ccccc2c(=O)[nH]1,0,-8.18781,1,22,PPS_tester_run_2,RNN,1_22-1
PPS,87,CSc1ccccc1-c1nnc(SCCN(C)C)o1,CSc1ccccc1-c1nnc(SCCN(C)C)o1,0,-6.48209,1,23,PPS_tester_run_2,RNN,1_23-1
PPS,88,Cc1ncccc1C(=O)Nc1ccc(F)c(C23COC(C)CC2CC(N)=N3)c1,Cc1ncccc1C(=O)Nc1ccc(F)c(C23COC(C)CC2CC(N)=N3)c1,0,-7.03872,1,24,PPS_tester_run_2,RNN,1_24-3
PPS,89,CNC(=O)c1ccccc1Oc1cc2cccnc2nc1C(=O)Nc1ccc(OC(F)(F)F)cc1,CNC(=O)c1ccccc1Oc1cc2cccnc2nc1C(=O)Nc1ccc(OC(F)(F)F)cc1,0,-3.86979,1,25,PPS_tester_run_2,RNN,1_25-1
PPS,90,Cc1c(Cc2ccc(CN3CCCC3)cc2)c(=O)[nH]c(=S)n1CCCO,Cc1c(Cc2ccc(CN3CCCC3)cc2)c(=O)[nH]c(=S)n1CCCO,0,-9.73045,1,26,PPS_tester_run_2,RNN,1_26-1
PPS,91,COCCSC12COCC1COCC2CO,COCCSC12COCC1COCC2CO,0,-5.7574,1,27,PPS_tester_run_2,RNN,1_27-4
PPS,93,CCCCn1ccc2c1-c1ccccc1C2(O)C(F)(F)F,CCCCn1ccc2c1-c1ccccc1C2(O)C(F)(F)F,0,-6.80632,1,29,PPS_tester_run_2,RNN,1_29-2
PPS,94,O=C(O)CC=CCC=CCCc1ccncc1,O=C(O)CC=CCC=CCCc1ccncc1,0,-6.32869,1,30,PPS_tester_run_2,RNN,1_30-4
PPS,95,CC(C)(O)C#Cc1cnn2ccc(Nc3ccc4[nH]ncc4c3)nc12,CC(C)(O)C#Cc1cnn2ccc(Nc3ccc4[nH]ncc4c3)nc12,0,-6.22594,1,31,PPS_tester_run_2,RNN,1_31-1
PPS,97,CCN1CCN(c2ccc3nc(-c4cc(Cl)c(OC)cc4OC)n(C)c3n2)CC1,CCN1CCN(c2ccc3nc(-c4cc(Cl)c(OC)cc4OC)n(C)c3n2)CC1,0,-7.84704,1,33,PPS_tester_run_2,RNN,1_33-1
PPS,98,Nc1ncc(C2CC=CCO2)nc1-c1ccc(OCCC(F)(F)F)cc1,Nc1ncc(C2CC=CCO2)nc1-c1ccc(OCCC(F)(F)F)cc1,0,-8.42342,1,34,PPS_tester_run_2,RNN,1_34-1
PPS,99,N#Cc1nc(-c2ccc(OCCO)cc2)nc2c1C(=O)N(c1ccccn1)C2,N#Cc1nc(-c2ccc(OCCO)cc2)nc2c1C(=O)N(c1ccccn1)C2,0,-5.71172,1,35,PPS_tester_run_2,RNN,1_35-1
PPS,100,CN(O)CCCNC(=O)C1=C(Cc2ccccc2)Cc2ccccc2C1,CN(O)CCCNC(=O)C1=C(Cc2ccccc2)Cc2ccccc2C1,0,-6.25077,1,36,PPS_tester_run_2,RNN,1_36-2
PPS,101,CC(NCc1ccc(O)c(-c2c(C3CCC3)c(=O)c2=O)c1)C(F)(F)F,CC(NCc1ccc(O)c(-c2c(C3CCC3)c(=O)c2=O)c1)C(F)(F)F,0,-7.31267,1,37,PPS_tester_run_2,RNN,1_37-1
PPS,102,OC1(C(F)(F)F)c2ccccc2-c2ccc(CCN3CCCC3)cc21,OC1(C(F)(F)F)c2ccccc2-c2ccc(CCN3CCCC3)cc21,0,-7.54014,1,38,PPS_tester_run_2,RNN,1_38-2
PPS,103,CNc1ccc(OS(N)(=O)=O)cc1C(=O)OC,CNc1ccc(OS(N)(=O)=O)cc1C(=O)OC,0,-6.26714,1,39,PPS_tester_run_2,RNN,1_39-1
PPS,104,O=S(=O)(CCOc1ccc(Cl)cc1)N1CCN(c2ccccc2-c2nnn[nH]2)CC1,O=S(=O)(CCOc1ccc(Cl)cc1)N1CCN(c2ccccc2-c2nnn[nH]2)CC1,0,-7.72379,1,40,PPS_tester_run_2,RNN,1_40-1
PPS,105,CC(F)(F)CNc1nccn2cc(C(=O)NCc3ccc(F)c(F)c3)nc12,CC(F)(F)CNc1nccn2cc(C(=O)NCc3ccc(F)c(F)c3)nc12,0,-7.85916,1,41,PPS_tester_run_2,RNN,1_41-1
PPS,107,O=C(NC1CC1)c1ccc(-c2cncc3cc(-c4ccc(CN5CCC(C(=O)O)C5)cc4)nn23)cc1,O=C(NC1CC1)c1ccc(-c2cncc3cc(-c4ccc(CN5CCC(C(=O)O)C5)cc4)nn23)cc1,0,-7.04964,1,43,PPS_tester_run_2,RNN,1_43-1
PPS,108,CC(C)c1cc2c(c([N+](=O)[O-])c1)C(=O)CC2,CC(C)c1cc2c(c([N+](=O)[O-])c1)C(=O)CC2,0,-6.81131,1,44,PPS_tester_run_2,RNN,1_44-1
PPS,109,O=C(CN1C(S)=NCS1(=O)=O)c1cccc(O)c1,O=C(CN1C(S)=NCS1(=O)=O)c1cccc(O)c1,0,-6.19957,1,45,PPS_tester_run_2,RNN,1_45-1
PPS,110,O=C(C=Cc1ccccc1)OCC1CC(=Cc2ccco2)C(O)CC1O,O=C(C=Cc1ccccc1)OCC1CC(=Cc2ccco2)C(O)CC1O,0,-8.70127,1,46,PPS_tester_run_2,RNN,1_46-7
PPS,112,Cc1[nH]c2ccc(Br)cc2c1CCNC(=O)NS(=O)(=O)c1cccc(Cl)c1,Cc1[nH]c2ccc(Br)cc2c1CCNC(=O)NS(=O)(=O)c1cccc(Cl)c1,0,-7.60474,1,48,PPS_tester_run_2,RNN,1_48-1
PPS,113,Nc1nc(OCc2ccccc2)c2cc[nH]c2n1,Nc1nc(OCc2ccccc2)c2cc[nH]c2n1,0,-6.23038,1,49,PPS_tester_run_2,RNN,1_49-1
PPS,114,Cc1c(C2C=CS(=O)(=O)CC2(O)c2ccsc2)oc2cc(O)ccc12,Cc1c(C2C=CS(=O)(=O)CC2(O)c2ccsc2)oc2cc(O)ccc12,0,-6.85714,1,50,PPS_tester_run_2,RNN,1_50-3
PPS,115,COc1cc(Br)c(Nc2ncc(S(C)(=O)=O)cn2)cc1C(C)(C)C,COc1cc(Br)c(Nc2ncc(S(C)(=O)=O)cn2)cc1C(C)(C)C,0,-5.87213,1,51,PPS_tester_run_2,RNN,1_51-1
