population,exclusion_reason,source_row,smiles,PPS_r_i_docking_score,PR_r_i_docking_score
PPS,invalid_flag,256,[nH]1c2c(c(CCNCCC)c(Cc3c(F)cccc3)cc1)ccc2,0.0,
PPS,invalid_flag,258,c1(-c2scc(C(Nc3cnccc3C(NCC(F)(F)F)=O)n2)ccccc1,0.0,
PPS,invalid_flag,262,n1c(-c2cc3c(cc2)-c2c(c(C(N)=O)nn2CC(F)(F)F)CC3)ncc1C#N,0.0,
PPS,invalid_flag,304,O(c1ccccc1)c1ccc(COC(NC(C(=O)O)CCO)(=O)=O)cc1,0.0,
PPS,invalid_flag,311,c1(C)n(C(c2ccc(NC(C)=O)cc2)=O)c(C)c(=O)c(OCc2onc(C(C)(C)C)c2)n1,0.0,
PPS,invalid_flag,326,C1(Cn2c3c(c(NC(c4ccc(F)cc4)=O)ncn3)ncc2C(N)=O)CCN(Cc2ccccc2)C1,0.0,
PPS,invalid_flag,333,c1(CCC(S(=O)(NC(c2c(F)c(F)c(F)c(F)c2F)=O)(C)C(N)=O)(=O)=O)ccccc1,0.0,
PPS,invalid_flag,353,c1(NS(c2ccc(NC3CCN(C(=O)Nc4ccccc4)CC3)(=O)=O)cc2)ccccn1,0.0,
PPS,invalid_flag,354,C(C(NC1(Cc2ccccc2)CC1)(=O)NC(C(CC(=O)O)C(=O)N1CC(C)CC(C)C1)c1ccc(C)o1)C(NC)=O,0.0,
PPS,invalid_flag,356,c1c2c(cc(NC(NC3CCC(c4ccc(F)cc4)C3)=O)nc1C)cc(OC)c(OC)c2,0.0,
PPS,invalid_flag,384,c12c(C(=O)OCC)c(CN3CCN(c4ccccc4F)CC3)c3c(n1)CCNC3)cccc2,0.0,
PPS,invalid_flag,385,c1(C2N(C(Nc3cc(F)ccc3)=O)CCN(C(=O)CC)CC2)ccc(OCC)c1,0.0,
PPS,invalid_flag,387,Cc1n2n(c(=O)c(-c3cnc(N4CCNCCC4)cc3)c1)ccc2,0.0,
PPS,invalid_flag,395,c1(C)cc(C(OC(C(N2CCC(CCCN)(c3ccccc3)CC2)=O)C)(=O)=O)ccc1,0.0,
PPS,invalid_flag,418,c1(NC(C)=O)cccc(-c2c3c(N)nccn3c(C3CC(O)(C)CC3)n2)nc1,0.0,
PPS,invalid_flag,427,c1(-c2c(F)cc(C(NC(CO)c3ccccc3)C(F)(F)F)cc2)[nH]c(=O)c(N2CCOCC2)[nH]c1=O,0.0,
PPS,invalid_flag,430,O(CC)C(N1CCN(c2cc3ncc(F)c3c3c(cccc3)n2CCOC)CC1)=O,0.0,
PPS,invalid_flag,433,C1(n2c3c(c4c(c5c4c(NC)ncn5)n2)nccc3)CCN(C(=O)CC(C)C(Nc2nncs2)=O)CC1,0.0,
PPS,invalid_flag,456,c1c(OCC(Nc2[nH]c3ccc(NC(=O)CNC(c4ccccc4)=O)nc3cc2)(=O)=O)cccc1,0.0,
PPS,invalid_flag,476,C1(CO)CCN(Cc2n(Cc3ccc(C(F)(F)F)cc3)c3cc(C(NCC)=O)ccc3nc2)C1O,0.0,
PPS,invalid_flag,481,c1(C(=O)NC(C(N2CCC(N3CCCc4ccccc43)CC2)=O)C(C(NC2CC(O)CC2Cc2ccccc2)=O)CCN)(O)c2ccccc2COC(C)(C)CC#N,0.0,
PPS,invalid_flag,482,C(NCC(C)C)CCCc1cc(O)cc2oc3c(ccc(OC)c3)c1c2,0.0,
PPS,invalid_flag,484,Fc1c(NC(c2c(NC(CN)c3ccc(C#N)c(F)c3)=O)nccc2)ccc(F)c1,0.0,
PPS,invalid_flag,490,O1CCN(C(c2cc3c([N+]([O-])=O)c(C)c(Cc4ccc5c(c4)CCC(=O)N5)n3)ccc2)=O)C1,0.0,
PPS,invalid_flag,499,c1c(S(c2ccc(-c3c(C(=O)N4CCN(C(Cc5c[nH]cn5)CC)CC4)=O)scc3)nn2)(=O)=O)n(C)nc1,0.0,
PPS,invalid_flag,511,n12c3c(F)ccc1c(O)ccc3C(=O)NCC2CC(NCc1ccc(OC)cc1)=O,0.0,
PPS,invalid_flag,540,c1(Oc2ccc(Cl)cc2F)c(CN(C(=O)C2CCN(C)CC2)C(N(C)C)=O)CCO)cccc1,0.0,
PPS,invalid_flag,542,C1CCC(Oc2ccc(N3C(=O)N(CC(N(CCO)c4ccccc4)=O)CC3)ccc2)C1,0.0,
PPS,invalid_flag,543,n1(C)c(C=Cc2c(F)cccc2)nc(NC(C)=O)cc1,0.0,
PPS,invalid_flag,545,c1(C(OCC(Nc2cc(C(N3CCC(O)(c4ccccc4)CC3)=O)ncc2)(=O)=O)=O)ncccc1,0.0,
PPS,invalid_flag,548,n1(CCC)c(=O)nc2c(c(C#N)cn2-c2ccc(F)cc2)nc1,0.0,
PPS,invalid_flag,555,c1(C(=O)N2C(CC(NCc3ccc(F)cc3)=O)CCCC2SC(=N)N)(=O)=O)ccc(F)cc1,0.0,
PPS,invalid_flag,559,CN1CCN(c2nc3ccc(NC(=O)NCCc4cc(C(F)(F)F)ccc4)cc3ncc2)CC1,0.0,
PPS,invalid_flag,573,c1c2c(c(C=CCOc3cc(F)ccc3)nc(C)c2)n(CC(O)=O)cc1,0.0,
PPS,invalid_flag,574,C(=C(C=Cc1cc([N+]([O-])=O)ccc1)(C)C)C,0.0,
PPS,invalid_flag,580,c1c(C=Cc2ccc(F)cc2)ccc(S(=O)(N2CCN(C)CC2)=O)cc1,0.0,
PPS,invalid_flag,590,C1C2(CCN(C(c3cc(Cc4c5c(c(=O)[nH]n4)CCCC5)cccc3)=O)CC1)OCC(=O)N2,0.0,
PPS,invalid_flag,604,O=c1c(F)ccc(-c2c(C(NCc3cc(F)c(F)cc3)=O)ccc(CCO)c2)c1,0.0,
PPS,invalid_flag,606,C1CN(c2cc(NS(=O)(=O)c3ccc(Oc4ccc(OC(F)(F)F)cc4)ccc3)nc(N)n2)CCN1C,0.0,
PPS,invalid_flag,621,c1(-c2cc(F)cc(CCc3cc(F)ccc3F)n2)cc2c(nc(N)[nH]c2=O)[nH]c1C,0.0,
PPS,invalid_flag,632,c1(Nc2c(OC)cccc2)c2c(c(Cl)ccc2)nc(Nc2ccc(N3CC(O)CCC3)nc2C)nc1,0.0,
PPS,invalid_flag,636,C1C(OC)CCC(c2c3c4c(N5CCC(CO)CC5)ncn5ncnc4-3)ccc2)C1,0.0,
PPS,invalid_flag,648,o1c2ccc(NCC3OCCC3)cc2cc(C(NCc2cc(OC)ccc2)=O)n1,0.0,
PPS,invalid_flag,654,c1cc(F)ccc1CC(N1CCc2c1cc(S(=O)(=O)CCC1CCN(C(=O)Cc3cscc3)CC1)=O)cc2,0.0,
PPS,invalid_flag,657,n1(CC(Nc2cc(C(=O)c3c4cnccc4c(N(C)C)cc3)cccc2)=O)c(=O)ccnc1,0.0,
PPS,invalid_flag,660,c12c(cc(C(=O)NCC(c3n4c(nc(C)c4C#N)CC(OC)O)ccc3)CO)cc1)OCCO2,0.0,
PPS,invalid_flag,663,n1[nH]c2c(c1-c1cc3c([nH]1)ccc(C(N(c1ccccc1)CCO)=O)CCC)cc3CNCC2,0.0,
PPS,invalid_flag,672,c1cc(F)c(Oc2ccc(NC(=O)Nc3ccc(F)cc3)cc2)ncc1,0.0,
PPS,invalid_flag,686,c1(F)c(F)c2ncc3cc(Cc4ccc(F)cc4)c(=O)n(C)c3nc2cc1,0.0,
PPS,invalid_flag,687,Fc1cc(F)c(Oc2c(C(Nc3cc(C(N)=O)ccc3)CN)CCC(=O)NCC2)ncc1,0.0,
PPS,invalid_flag,689,c1c(NC(NS(=O)(c2ccc(C)cc2)=O)=O)ccc(-c2cc(C(O)=O)ccc2)cc1,0.0,
PPS,invalid_flag,691,O(c1c(O)cc2c3c(c1)CC1N4CCCCC4(C1CCCCC)C2O3)C,0.0,
PPS,invalid_flag,693,c1(F)cc2c(c(-c3cc(F)c(-c4cnc(N)cc4)cc3)cc1)c(S(=O)(=O)NCC(F)(F)F)cc(NS(=O)(C)=O)n2,0.0,
PPS,invalid_flag,700,c1cc(C#Cc2cc3c(cc2)C(NC(=O)CN2CCOCC2)CCC3)cccc1F,0.0,
PPS,invalid_flag,702,c1c(CC(NC(=O)C(F)(F)CO)CC)ccc(N2CC(N3CCCC3)CC2)cc1,0.0,
PPS,invalid_flag,704,c1c(F)c(NS(c2ccc(F)cc2)(=O)=O)cc(Cc2c3c(c(=O)[nH]n2)CCCC3)cc1,0.0,
PPS,invalid_flag,708,c1cc(F)cc(F)c1-c1c(F)cc(N(CC(O)CN)Cc2ccc(F)cc2)ccc1,0.0,
PPS,invalid_flag,709,c1(OC(F)F)c(F)c(-c2c(-c3cc(F)c(N)cc3)cncc2)ccc(F)c1,0.0,
PPS,invalid_flag,710,C1CN(C)CC1(C=Cc1ccc(C=Cc2cc(OC)ccc2)ccc1)O,0.0,
PPS,invalid_flag,717,c1cc2c(c(-c3ccnc(C)c3)n[nH]c2=O)ccc1Cl,0.0,
PPS,invalid_flag,731,o1c(C(=O)C(Cc2c(F)cccc2F)N)cccc1,0.0,
PPS,invalid_flag,735,n12c3c(cccc3ccc1)c(C1CCN(Cc3ccccc3)CC1)nc(C#N)n2,0.0,
PPS,invalid_flag,736,c1cc(OCc2ccc(F)c(F)c2)ccc(C(Cc2ccccc2)(O)CN(C)C)c1,0.0,
PPS,invalid_flag,737,c1cc(F)c(C2N(c3ccc(OC)cc3)C(=O)C(O)=C2C(CC)=O)ccc1,0.0,
PPS,invalid_flag,743,c1(N(CC)CC)ccc(C2CC(c3ccc(F)cc3)NCCC2)c(F)cc1,0.0,
PPS,invalid_flag,750,c1cc(F)c(F)cc1Cc1cc(CNC(c2cc(F)ccc2)=O)cc(C#Cc2cc(F)c(OC)nc2)cc1,0.0,
PPS,invalid_flag,756,c1(OCCOc2ccccc2Cl)ccc(Nc2oc(C(N)=O)cc2)ccc1,0.0,
PPS,invalid_flag,757,c1cc(-c2nc(NCc3ccccc3)c3c(cccc3)n2)cccc1,0.0,
PPS,invalid_flag,760,c1c(F)ccc(N2CCN(S(c3c(C(=O)N(CCCC)C)cccc3)(=O)=O)CC2)(=O)=O)c1,0.0,
PPS,invalid_flag,761,c1(CNc2ccc3c(c(=O)c4c(o3)cccc4)cc2)ccc(F)cc1,0.0,
PPS,invalid_flag,768,c1c(O)ccc(C=c2sccc2Cc2ccccc2)c1O,0.0,
PPS,invalid_flag,770,C1CCC2CC(=O)N(CCCN3CCN(c4sc5ccccc5n4)CC3)C(=O)CO12,0.0,
PPS,invalid_flag,772,c12c(NC(C(Nc3ccc(Oc4cc5ccccc5cc4)C)ccc3)=O)ncc1)=NCCN2,0.0,
PPS,invalid_flag,780,c12c(c(F)ccc1F)CNC(C(c1cc(NC(=O)CN)(=O)=O)ccc1)CC)CC2,0.0,
PPS,invalid_flag,785,c1(OC(c2ccc(N3CCC(n4cccc4)CC3)=O)cc2)ccccc1,0.0,
PPS,invalid_flag,790,n1c2c(c(Nc3ccccc3)ncc1C(N)=O)cc(F)cc2,0.0,
PPS,invalid_flag,797,C1(=Cc2ccc(Oc3ccc(F)cc3)ccc2)SCC(=O)N1C,0.0,
PPS,invalid_flag,799,CC1(c2cc(C(=O)NO)ccc2)C#CC(NC(C(F)(F)F)=O)CC1)O,0.0,
PPS,invalid_flag,806,c1c(F)cc(Oc2ccc(NC(Nc3ccccc3)=O)cc2C(NCC(=O)N2CCCCCC2)=O)cnc1,0.0,
PPS,invalid_flag,807,Fc1ccc(-c2oc(Nc3ccccc3)ncc2C#N)cc1,0.0,
PPS,invalid_flag,812,C1NCCc2n(c(-c3cccc(F)c3)ccc2)C1,0.0,
PPS,invalid_flag,816,c12ccc(Oc3ccccc3)ccc1C(C)(C)c1cc(NC(C(O)C(N)CC)=O)ccc1CC2,0.0,
PPS,invalid_flag,820,c1c(Cc2ccc(OCCCc3ccccc3)ccc2O)ccc(N2CCNCC2)cc1,0.0,
PPS,invalid_flag,826,Fc1ccc(-c2c(C=Cc3cc(C#N)cc(F)c3)n3c(cccc3)n2)ccc1,0.0,
PPS,invalid_flag,834,c1ccccc1Cc1cc(C(=O)CC2(O)C(=O)N(CCNC)CC2)OC)ccc1C#N,0.0,
PPS,invalid_flag,836,c1c(CO)c(N2Cc3c(cccc3)CC2)ccc(F)c1,0.0,
PPS,invalid_flag,845,c12ccccc1CN(CC1Oc3c4c(ccc3)CCCc4cccc21,0.0,
PPS,invalid_flag,851,CC(C#Cc1ccc(N2CCC(Oc3ccc(F)cc3F)CC2)nc1)(N)=O,0.0,
PPS,invalid_flag,853,C(=O)(c1c2cc(F)ccc2c(Nc2ccc(N3CCN(CCO)CC3)cc2F)ccc1)N,0.0,
PPS,invalid_flag,854,C1COCC1COc1ccc(Nc2c3c(ncn2)ccc(N2CCN(Cc4ccccc4)CC2)CC3)nc1,0.0,
PPS,invalid_flag,862,c1(CNC(c2c(F)cc3c(c2)C(C)(C)N(Cc2ccccc2)CC3N)=O)[nH]c2ccccc2cc1,0.0,
PPS,invalid_flag,864,c1(F)cc(F)c(CCC(=O)NC2C(=O)N3C(C(=O)C(O)C)CN(Cc4ccccc4)CC3)CO2)cc1,0.0,
PPS,invalid_flag,878,Fc1ccc(F)cc1C1CN(c2ccn3ccc(F)n3n2)C1,0.0,
PPS,invalid_flag,890,C1(CNS(=O)(=O)CC(C)(Cc2ccccc2)c2ccccc2)C1,0.0,
PPS,nonnegative_score,898,Fc1ccc(C2(c3ccc(F)c(F)c3)CN3CCN=C3c3ccccc32)cc1,0.0,
PPS,invalid_flag,899,c1c2ccc(F)c(N3CCN(CCCc4c5c(cccc5)[nH]c4)CC3)c1CSCC2,0.0,
PPS,invalid_flag,904,c1c2c(c(NCc3ccccc3)ccc1S(=O)(=O)c1ccccc1)CC1CNCCN1CC2,0.0,
PPS,invalid_flag,911,c1cc(N2CCN(CCC=Cc3ccsc3)CC2)cccc1,0.0,
PPS,invalid_flag,924,C(c1ccc(CNC(=O)c2c(F)cc(Oc3ccccc3)cc2)ccc1)(=O)NC1CNCC1,0.0,
PPS,invalid_flag,927,N#Cc1ccc(-c2cc(O)cc(C3(c4ccc(Oc5ccccc5)cc4)C(=O)N(C)C(=O)C3)O)c2)cc1,0.0,
PPS,invalid_flag,930,c12c(cc(Nc3c(F)cc(F)cc3F)ncc1)ccc(-c1[nH]c3c(c(NS(=O)(=O)N)ccc3)n1)c2,0.0,
PPS,invalid_flag,963,c12cc(NC(=O)NCCc3ccc(F)cc3F)cc1-c1ccccc1C(=O)N(CCO)CC2,0.0,
PPS,invalid_flag,971,c1c2c(ccc(C(NCC(N3CCN(CCc4ccccc4)CC3)=O)=O)c1)OCC(=O)N2,0.0,
PPS,invalid_flag,1012,Fc1c(F)cc(F)c1C1C(N)CN(c2ccc(F)cc2C#N)CC1,0.0,
PPS,nonnegative_score,1025,CCCNCc1cccc2c1N(C1CCCC1)CCC2,0.0,
PPS,invalid_flag,1044,c1c2c(Cc3cc(C(=O)N4CCN(CCc5ccccc5)CC4)CC(=O)CO3)ccc2)ccc1,0.0,
PPS,invalid_flag,1048,C12(c3cc(-c4ccc(N)cc4)ccc3)CN(C)CC1)C(=O)N(Cc1ccccc1F)CC2,0.0,
PPS,invalid_flag,1071,C(Oc1cc(F)c(NC(c2cc3c([nH]2)cc4cc[nH]c4cc3)=O)cc1)(F)F,0.0,
PPS,invalid_flag,1080,c12ccc(C(=O)Nc3ccc(C(N4CCN(CCc5ccccc5)CC4)=O)cc3)cc1)CCC(=O)N2C,0.0,
PPS,invalid_flag,1086,c1cc2c(c(Cl)cc1Oc1ccccc1)c(C)c(NC(=O)c1ccc(F)cc1)[nH]2,0.0,
PPS,invalid_flag,1092,c1(=O)cc(F)ccc1C1CC1c1ccc2ccccc2c1,0.0,
PPS,invalid_flag,1093,C12(O)CCC(C(N(CCC(N)Cc3ccc4c(c3)CCN4C1)=O)CC)CCC2,0.0,
PPS,invalid_flag,1094,c12cc(F)c(F)c1n(C1CCN(Cc3ccccc3)CC1)cc2,0.0,
PPS,nonnegative_score,1114,c1ccc(-c2ccccc2C23CCCN(CC2)CC3)cc1,0.0,
PPS,invalid_flag,1122,n1c(C)ccc2c(C(=O)OCC)ccc12,0.0,
PPS,invalid_flag,1124,c1cc(CN2CC(C(=O)N3CCN(c4ccccc4)CC3)CCCCC)cc2)ccc1F,0.0,
PPS,invalid_flag,1130,c1(F)c(F)ccc1-c1cccc(CCc2ccc(F)cc2)c1,0.0,
PPS,invalid_flag,1141,C1(c2ccc(F)cc2)C(CC(=O)N2CCC(O)CC2)N)CN(Cc2ccccc2)C1,0.0,
PPS,invalid_flag,1155,c1ccc(C=CC=C2CCc3cc(OCCCN4CCN(CC(=O)Nc5ccccc5F)CC4)ccc3)c2)cc1,0.0,
PPS,invalid_flag,1165,c1cccc2c1c(S(Nc1ccc(C(=O)Nc3c(N)cccc3)cc1)(=O)=O)cc2,0.0,
PPS,invalid_flag,1167,c1(C)ccccc1C(N1CC2(CCN(C(=O)Cc3ccccc3)CC2)CCC)CC1)=O,0.0,
PPS,invalid_flag,1195,c1ccccc1CCNC(Oc1cc2c(C(=O)C(CC(=O)C(=O)O)C)cccc2)cc1)=O,0.0,
PPS,invalid_flag,1214,o1c2c(cc(Cn3ccc4ccccc34)cc2=O)ccc1F,0.0,
PPS,invalid_flag,1221,c1cccc2n3c(=O)c(C(=O)NCC(=O)N4CCCC3)cn1c4ccccc12,0.0,
PPS,invalid_flag,1229,Sc1oc2c(ccc(F)c2)cc1C(=O)NCCc1ccccc1F,0.0,
PPS,nonnegative_score,1252,CCN(C(=O)C1CNCCCN1C(=O)c1[nH]c2ccccc2c1CCc1c(F)cccc1Cl)c1ccccc1,0.0,
PPS,invalid_flag,1261,c1c2cc(CN(Cc3ccc(F)cc3)c3sccc3)nc2ccc1,0.0,
PPS,invalid_flag,1286,FC(F)(c1cc(N(C2CS(=O)(=O)CC2)CC(C(CO)O)O)cc1F)CCC,0.0,
PPS,invalid_flag,1288,c12cc(CNC(=O)c3ccc(F)cc3)cc1CCc1ccccc1-2,0.0,
PPS,invalid_flag,1307,O1c2ccc(CCNc3cc(C(F)(F)F)ccc3)cc2OCC(F)(F)F,0.0,
PPS,invalid_flag,1311,C1CC2(c3cc(F)ccc3F)CCN(CCNC(=O)c3c4ccccc4ccc3)C1)CCC2,0.0,
PPS,invalid_flag,1312,c1ccccc1-c1ccc2ccc3c4c(cccc4)c(=O)o3c2c1,0.0,
PPS,nonnegative_score,1340,NC1CCC(CCN2CCC3CC(=C4C=CC=Cc5cccc(c53)C4)C2)CC1,0.0,
PPS,invalid_flag,1341,c1c(OCC2Oc3ccc(F)cc3C2)ccc1C(Cc1c(F)cccc1F)=O,0.0,
PPS,invalid_flag,1343,c12ccccc1c(=O)[nH]c1cc(F)cc2N1CCNCC1CCN(Cc2ccccc2)CC1,0.0,
PPS,invalid_flag,1347,c1c(-c2cc(-c3cc(CC#N)ccc3)ccc2)ccc1CCO,0.0,
PPS,invalid_flag,1363,CC1CNC2C3C(=O)N(c4ccc(OCc5ccccc5)cc4)CCC13c1cc(F)cc1CC2,0.0,
PPS,invalid_flag,1364,c1cccc2c1C(CC12C(O)CCCC1)c1ccccc1C=C2CC=CCC(O)=O,0.0,
PPS,invalid_flag,1368,s1c(C(=O)N2C3CC(c4ccc(F)cc4)(F)CC3C(=O)N)CC2)ccc1F,0.0,
PPS,invalid_flag,1371,N1CCCC1c1ccc(-c2ccc(Nc3c4c(ccc3)OCO3)nc2)cc1,0.0,
PPS,invalid_flag,1393,C1C2(c3ccccc3CN)CCN(CC(=Cc3ccccc3)C)C1)CCC2,0.0,
PPS,invalid_flag,1394,C1CCc2c1c1c(cccc1)c1cc(C(NCCN(CC)CC)=O)ccc1c2O,0.0,
PPS,invalid_flag,1409,C12(c3ccc(F)cc3F)C1CN(CCN1c3ccccc3CCC1)CC2,0.0,
PPS,invalid_flag,1410,OCCc1cc2c(cc1)Cc1cc(C(Nc3ccccc3)=O)cc1)C2,0.0,
PPS,invalid_flag,1425,c12cc(F)cc1CCc1ccccc1C2NCCCN1CCCC1,0.0,
PPS,invalid_flag,1428,C1(F)CCN1CC1CCC(c2c3ccc(F)cc3oc(N)c2)CC1,0.0,
PPS,nonnegative_score,1471,O=C1NCCc2cccc(C3(c4ccccc4)CCOCC3)c21,0.0,
PPS,invalid_flag,1473,c12ccccc1c(CC(C1CCN(c3c4c(ccc3)OCC4)CC1)O)cc2,0.0,
PPS,invalid_flag,1480,c1c(F)ccc(C2(O)CCNCc2ccc(F)cc2)c1,0.0,
PPS,invalid_flag,1496,c12ccccc1c(Sc1ccc3c(ccc(OCC(NC)=O)c3)c1)cc2,0.0,
PPS,invalid_flag,1500,c1c(C2CC2CNc2cc3ccccc3cc2)ccc1,0.0,
PPS,invalid_flag,1514,c1(F)cc2c(cc1CNC(=O)c1cc3c(cc1)Cc1ccccc1-3)[nH]c2C(=O)N,0.0,
PPS,invalid_flag,1518,C1(CC(=CNc2ccccc2)C)C2CCC3N(CCc4c4cccc4)CCC(O)C3C2CC1,0.0,
PPS,invalid_flag,1526,c12c(C(Nc3cc4cc(NC(=O)Cc5ccccc5)ccc4ccc3)=O)ccc1)CCNC2,0.0,
PPS,invalid_flag,1537,c1c(F)c(CC(CC=c2ccc3c(cccc3)c2)C)ccc1,0.0,
PPS,invalid_flag,1540,c1(Sc2c3ccccc3ccc2)cc(C(=O)c2c(C)cccc2)ccc1C(NCC(=O)N1CCN(CC#N)CC1)=O)CO,0.0,
PPS,nonnegative_score,1542,NC1CC(c2ccc(F)cc2)(c2ccc(F)cc2)N=C(c2ccccc2)OC1=O,0.0,
PPS,invalid_flag,1602,c1(=O)cc(Cc2ccccc2F)c2ccc(C(=O)Nc3ccc(F)cc3F)c1Cl)CC(=O)N2C,0.0,
PPS,invalid_flag,1636,c1ccc2cc(CCc3cc(C(=O)N4CCC(O)CC4)ccc3CC)cc2c1,0.0,
PPS,invalid_flag,1645,c1cccc(Cc2ccc(C(CC(C(=O)NO)C(=O)NO)cc2)c1,0.0,
PPS,invalid_flag,1650,c12c(ccc(=O)n1CCCCN1CCc3cc4c(cc3C3c3ccc(F)cc3)CC1)OCO4,0.0,
PPS,invalid_flag,1663,c1ccc2c(c1)C(C(=O)NCc1ccc(F)cc1)Cc2ccc1,0.0,
PPS,invalid_flag,1677,c1cccc2c1c(OCc1cc(F)ccc1F)cc2CC(=O)c1c(C(N2CCC(F)C2)=O)cccc1,0.0,
PPS,invalid_flag,1682,c1c2cc(C3CN(c4ccccc4)CC3)cc2ccc1,0.0,
PPS,invalid_flag,1685,C(CC(=Nc1ccccc1)=Cc1ccc(F)cc1)Cc1cc2c(cc1)CC(=O)N(CCNC(=O)CCC)C2,0.0,
PPS,invalid_flag,1698,C1COCCN1CCc1cc2c(cc1)c1ccccc1c2SCCc1ccccc1,0.0,
PPS,invalid_flag,1710,c1cc(C=Cc2ccc(NC(N(CC(=O)NC(Cc3ccccc3)C)C(=O)CO)CC#C)c2)ccc1F,0.0,
PPS,invalid_flag,1714,c1cccc2c1ccc(C=Cc1cc(N3CCN(Cc4n(C)ccc4)CC3)cc1)c2,0.0,
PPS,invalid_flag,1718,c1c(C2CC2CNc2ccccc2)ccc1F,0.0,
PPS,invalid_flag,1737,c1c(CCc2cc(CCC)ccc2)ccc(C(C(C(N2CCCC2C(=O)N)CC(=O)N)CC)c1)=O,0.0,
PPS,invalid_flag,1743,c1c(C(=O)C=CCCCC2CC2CCCN2CC=Cc2ccccc2)cccc1,0.0,
PPS,nonnegative_score,1744,CCCCN1CCCc2cccc(C(=O)N3CCC(Cc4ccccc4)CC3)c21,0.0,
PPS,invalid_flag,1746,c12ccccc1cc(CCC1CNCCC1c1cccc(C(F)(F)F)c1)c2,0.0,
PPS,invalid_flag,1748,Fc1c(F)ccc(C2CN(c3c4c(ccc3)CN(CCN3CCc3c5ccccc5[nH]c34)CC2)OC(=O)C(C)C)c1F,0.0,
PPS,invalid_flag,1764,c1ccc2c(cc(CCc3c(CCc4ccccc4N)cccc3)n2)c1O,0.0,
PPS,invalid_flag,1798,CC(Cc1ccc2ccccc12)CCc1ccc(NC(=O)Cc2cc(F)c(F)cc2)cc1F,0.0,
